pointScore,gameScore,setScore,isPointStart,pointStartTime,isPointEnd,pointEndTime,pointNumber,isBreakPoint,shotInRally,side,serverName,serverFarNear,firstServeIn,firstServeZone,firstServeXCoord,firstServeYCoord,secondServeIn,secondServeZone,secondServeXCoord,secondServeYCoord,isAce,shotContactX,shotContactY,shotDirection,shotFhBh,isSlice,isVolley,isOverhead,isApproach,isDropshot,isExcitingPoint,atNetPlayer1,atNetPlayer2,isLob,shotLocationX,shotLocationY,isWinner,isErrorWideR,isErrorWideL,isErrorNet,isErrorLong,clientTeam,Date,Division,Event,lineupPosition,matchDetails,matchVenue,opponentTeam,player1Name,player2Name,player1Hand,player2Hand,Round,Surface,Notes
30-40,1-0,0-0,,557701,,,,,2,Ad,Aristotelis Thanos,Near,,,,,,,,,,204,497,Down the Line,Backhand,,,,,,,,1,,10,-59,,,,,,,,,,,,,,,,,,,,
30-40,1-0,0-0,,558704,1,560083,,,3,Deuce,Aristotelis Thanos,Near,,,,,,,,,,2,-49,Crosscourt,Forehand,,1,,,,,,1,,-126,-17,,,,1,,,,,,,,,,,,,,,,
0-0,2-0,0-0,1,593422,,,,,1,Deuce,Rudy Quan,Far,0,Body,71,-271,1,T,47,-191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0-0,2-0,0-0,,606995,,,,,2,Deuce,Rudy Quan,Far,,,,,,,,,,106,-492,Down the Line,Forehand,,,,,,,,,,76,335,,,,,,,,,,,,,,,,,,,,
0-0,2-0,0-0,,608598,,,,,3,Ad,Rudy Quan,Far,,,,,,,,,,87,479,Crosscourt,Backhand,,,,,,,,,,-68,-270,,,,,,,,,,,,,,,,,,,,
0-0,2-0,0-0,,610080,,,,,4,Ad,Rudy Quan,Far,,,,,,,,,,-129,-511,Crosscourt,Backhand,,,,,,,,,,63,389,,,,,,,,,,,,,,,,,,,,
0-0,2-0,0-0,,611481,,,,,5,Ad,Rudy Quan,Far,,,,,,,,,,98,505,Crosscourt,Backhand,,,,,,,,,,-73,-417,,,,,,,,,,,,,,,,,,,,
0-0,2-0,0-0,,612791,,,,,6,Ad,Rudy Quan,Far,,,,,,,,,,-145,-575,Down the Line,Forehand,,,,,,,,,,-92,367,,,,,,,,,,,,,,,,,,,,
0-0,2-0,0-0,,614087,,,,,7,Deuce,Rudy Quan,Far,,,,,,,,,,-126,521,Crosscourt,Forehand,,,,,,,,,,74,-329,,,,,,,,,,,,,,,,,,,,
0-0,2-0,0-0,,615346,,,,,8,Deuce,Rudy Quan,Far,,,,,,,,,,231,-505,Crosscourt,Forehand,,,,,,,,,,-132,370,,,,,,,,,,,,,,,,,,,,
0-0,2-0,0-0,,617052,1,618430,,,9,Deuce,Rudy Quan,Far,,,,,,,,,,-198,513,Down the Line,Forehand,,,,,,,,,,-158,13,,1,,1,,,,,,,,,,,,,,,,
0-15,2-0,0-0,1,644099,,,,,1,Ad,Rudy Quan,Far,1,Body,-70,-159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0-15,2-0,0-0,,646907,,,,,2,Ad,Rudy Quan,Far,,,,,,,,,,-132,-527,Down the Line,Forehand,,,,,,,,,,-14,303,,,,,,,,,,,,,,,,,,,,
0-15,2-0,0-0,,648265,,,,,3,Ad,Rudy Quan,Far,,,,,,,,,,4,500,Down the Line,Forehand,,,,,,,,,,106,-177,,,,,,,,,,,,,,,,,,,,
0-15,2-0,0-0,,649508,1,653708,,,4,Deuce,Rudy Quan,Far,,,,,,,,,,140,-521,Crosscourt,Forehand,,,,,,,,,,-65,495,,,,,1,,,,,,,,,,,,,,,
15-15,2-0,0-0,1,673753,,,,,1,Deuce,Rudy Quan,Far,1,Body,71,-215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-15,2-0,0-0,,676283,,,,,2,Deuce,Rudy Quan,Far,,,,,,,,,,148,-556,Crosscourt,Forehand,,,,,,,,,,-20,413,,,,,,,,,,,,,,,,,,,,
15-15,2-0,0-0,,677975,,,,,3,Deuce,Rudy Quan,Far,,,,,,,,,,-68,524,Down the Line,Forehand,,,,,,,,,,-102,-214,,,,,,,,,,,,,,,,,,,,
15-15,2-0,0-0,,679284,,,,,4,Ad,Rudy Quan,Far,,,,,,,,,,-118,-532,Crosscourt,Forehand,,,,,,,,,,95,405,,,,,,,,,,,,,,,,,,,,
15-15,2-0,0-0,,680961,,,,,5,Ad,Rudy Quan,Far,,,,,,,,,,148,492,Crosscourt,Backhand,,,,,,,,,,-97,-414,,,,,,,,,,,,,,,,,,,,
15-15,2-0,0-0,,682501,,,,,6,Ad,Rudy Quan,Far,,,,,,,,,,-172,-556,Crosscourt,Forehand,,,,,,,,,,90,279,,,,,,,,,,,,,,,,,,,,
15-15,2-0,0-0,,683937,,,,,7,Ad,Rudy Quan,Far,,,,,,,,,,156,492,Down the Line,Backhand,,,,,,,,,,60,-414,,,,,,,,,,,,,,,,,,,,
15-15,2-0,0-0,,685443,,,,,8,Deuce,Rudy Quan,Far,,,,,,,,,,55,-588,Crosscourt,Forehand,1,,,,,,,,,-46,279,,,,,,,,,,,,,,,,,,,,
15-15,2-0,0-0,,687110,1,688982,,,9,Deuce,Rudy Quan,Far,,,,,,,,,,-62,372,Down the Line,Forehand,,,,,,,,,,-113,5,,,,1,,,,,,,,,,,,,,,,
15-30,2-0,0-0,1,712794,,,,,1,Ad,Rudy Quan,Far,0,Body,-65,-285,1,Body,-105,-154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-30,2-0,0-0,,725795,,,,,2,Ad,Rudy Quan,Far,,,,,,,,,,-150,-516,Crosscourt,Forehand,,,,,,,,,,20,349,,,,,,,,,,,,,,,,,,,,
15-30,2-0,0-0,,726822,,,,,3,Ad,Rudy Quan,Far,,,,,,,,,,58,505,Crosscourt,Backhand,,,,,,,,,,-52,-259,,,,,,,,,,,,,,,,,,,,
15-30,2-0,0-0,,727970,,,,,4,Ad,Rudy Quan,Far,,,,,,,,,,-132,-508,Crosscourt,Forehand,,,,,,,,,,92,421,,,,,,,,,,,,,,,,,,,,
15-30,2-0,0-0,,729520,,,,,5,Ad,Rudy Quan,Far,,,,,,,,,,156,479,Crosscourt,Backhand,,,,,,,,,,-142,-281,,,,,,,,,,,,,,,,,,,,
15-30,2-0,0-0,,730789,,,,,6,Ad,Rudy Quan,Far,,,,,,,,,,-188,-508,Crosscourt,Backhand,,,,,,,,,,44,373,,,,,,,,,,,,,,,,,,,,
15-30,2-0,0-0,,732178,,,,,7,Ad,Rudy Quan,Far,,,,,,,,,,98,473,Crosscourt,Backhand,,,,,,,,,,-89,-281,,,,,,,,,,,,,,,,,,,,
15-30,2-0,0-0,,732671,,,,,9,Ad,Rudy Quan,Far,,,,,,,,,,132,492,Crosscourt,Backhand,,,,,,,,,,-121,-286,,,,,,,,,,,,,,,,,,,,
15-30,2-0,0-0,,733699,,,,,8,Ad,Rudy Quan,Far,,,,,,,,,,-145,-508,Crosscourt,Backhand,,,,,,,,,,111,381,,,,,,,,,,,,,,,,,,,,
15-30,2-0,0-0,,733712,,,,,10,Ad,Rudy Quan,Far,,,,,,,,,,-156,-505,Crosscourt,Backhand,,,,,,,,,,47,282,,,,,,,,,,,,,,,,,,,,
15-30,2-0,0-0,,734950,,,,,11,Ad,Rudy Quan,Far,,,,,,,,,,71,511,Crosscourt,Backhand,,,,,,,,,,-94,-318,,,,,,,,,,,,,,,,,,,,
