pointNumber,player1Name,player2Name,pointScore,gameScore,setScore,tiebreakScore,side,serverName,returnerName,clientTeam,opponentTeam,Position,pointEndPosition,Duration,rallyCount,rallyCountFreq,firstServeIn,secondServeIn,serveResult,serveInPlacement,firstServeZone,secondServeZone,isAce,serverFarNear,firstServeXCoord,firstServeYCoord,secondServeXCoord,secondServeYCoord,returnDirection,returnFhBh,errorType,returnError,lastShotDirection,lastShotFhBh,lastShotHitBy,lastShotResult,pointWonBy,isExcitingPoint,isBreakPoint,atNetPlayer1,atNetPlayer2,setNum,player1SetScore,player2SetScore,player1GameScore,player2GameScore,player1PointScore,player2PointScore,player1TiebreakScore,player2TiebreakScore,gameNumber,player1ServeResult,player1ServePlacement,player1ReturnPlacement,player1ReturnFhBh,player1LastShotPlacement,player1LastShotFhBh,player1LastShotResult,player2ServeResult,player2ServePlacement,player2ReturnPlacement,player2ReturnFhBh,player2LastShotPlacement,player2LastShotFhBh,player2LastShotResult,deepCountPlayer1,deepCountPlayer2,shortCountPlayer1,shortCountPlayer2,Name
21,Rudy Quan,Aristotelis Thanos,0-30,3-0,0-0,,Deuce,Aristotelis Thanos,Rudy Quan,UCLA,Michigan State University,997094.0,1004843.0,7749.0,4,1-4,1,0,1st Serve In,T,T,,False,Far,6.0,-97.0,,,Crosscourt,Backhand,Wide Right,,Down the Line,Forehand,Rudy Quan,Error,Aristotelis Thanos,,False,,,1,0,0,3,0,0,30,,,4,,,Crosscourt,Backhand,Down the Line,Forehand,Error,1st Serve In,Deuce: T,,,,,,0.0,0.0,1.0,1.0,"Set 1: 3-0, 0-30 Aristotelis Thanos Serving"
22,Rudy Quan,Aristotelis Thanos,15-30,3-0,0-0,,Ad,Aristotelis Thanos,Rudy Quan,UCLA,Michigan State University,1026911.0,,,2,1-4,1,0,1st Serve In,T,T,,False,Far,-39.0,-204.0,,,Crosscourt,Forehand,Net,Net,Crosscourt,Forehand,Rudy Quan,Error,Aristotelis Thanos,,False,,,1,0,0,3,0,15,30,,,4,,,Crosscourt,Forehand,Crosscourt,Forehand,Error,1st Serve In,Ad: T,,,,,,0.0,1.0,0.0,0.0,"Set 1: 3-0, 15-30 Aristotelis Thanos Serving"
23,Rudy Quan,Aristotelis Thanos,30-30,3-0,0-0,,Deuce,Aristotelis Thanos,Rudy Quan,UCLA,Michigan State University,1053015.0,1059202.0,6187.0,2,1-4,1,0,1st Serve In,Wide,Wide,,False,Far,110.0,-153.0,,,Crosscourt,Forehand,Long,Long,Crosscourt,Forehand,Rudy Quan,Error,Aristotelis Thanos,,False,,,1,0,0,3,0,30,30,,,4,,,Crosscourt,Forehand,Crosscourt,Forehand,Error,1st Serve In,Deuce: Wide,,,,,,0.0,0.0,0.0,0.0,"Set 1: 3-0, 30-30 Aristotelis Thanos Serving"
24,Rudy Quan,Aristotelis Thanos,30-40,3-0,0-0,,Ad,Aristotelis Thanos,Rudy Quan,UCLA,Michigan State University,1076415.0,1085548.0,9133.0,4,1-4,1,0,1st Serve In,Body,Body,,False,Far,-100.0,-121.0,,,Down the Line,Backhand,Wide Right,,Down the Line,Forehand,Rudy Quan,Error,Aristotelis Thanos,,True,,,1,0,0,3,0,30,40,,,4,,,Down the Line,Backhand,Down the Line,Forehand,Error,1st Serve In,Ad: Body,,,,,,0.0,0.0,1.0,1.0,"Set 1: 3-0, 30-40 Aristotelis Thanos Serving"
25,Rudy Quan,Aristotelis Thanos,0-0,3-1,0-0,,Deuce,Rudy Quan,Aristotelis Thanos,UCLA,Michigan State University,1105958.0,1113489.0,7531.0,5,5-8,1,0,1st Serve In,T,T,,False,Near,-42.0,230.0,,,Down the Line,Forehand,Long,,Crosscourt,Backhand,Rudy Quan,Error,Aristotelis Thanos,,False,,,1,0,0,3,1,0,0,,,5,1st Serve In,Deuce: T,,,Crosscourt,Backhand,Error,,,Down the Line,Forehand,,,,0.0,0.0,2.0,1.0,"Set 1: 3-1, 0-0 Rudy Quan Serving"
26,Rudy Quan,Aristotelis Thanos,0-15,3-1,0-0,,Ad,Rudy Quan,Aristotelis Thanos,UCLA,Michigan State University,1137738.0,,,3,1-4,1,0,1st Serve In,Body,Body,,False,Near,57.0,225.0,,,Crosscourt,Forehand,Long,,Crosscourt,Backhand,Rudy Quan,Error,Aristotelis Thanos,,False,,,1,0,0,3,1,0,15,,,5,1st Serve In,Ad: Body,,,Crosscourt,Backhand,Error,,,Crosscourt,Forehand,,,,0.0,1.0,1.0,0.0,"Set 1: 3-1, 0-15 Rudy Quan Serving"
27,Rudy Quan,Aristotelis Thanos,0-30,3-1,0-0,,Deuce,Rudy Quan,Aristotelis Thanos,UCLA,Michigan State University,1166032.0,1175546.0,9514.0,5,5-8,1,0,1st Serve In,T,T,,False,Near,-37.0,241.0,,,Crosscourt,Backhand,,,Crosscourt,Forehand,Rudy Quan,Winner,Rudy Quan,,False,,,1,0,0,3,1,0,30,,,5,1st Serve In,Deuce: T,,,Crosscourt,Forehand,Winner,,,Crosscourt,Backhand,,,,0.0,2.0,2.0,0.0,"Set 1: 3-1, 0-30 Rudy Quan Serving"
28,Rudy Quan,Aristotelis Thanos,15-30,3-1,0-0,,Ad,Rudy Quan,Aristotelis Thanos,UCLA,Michigan State University,1194656.0,1205770.0,11114.0,5,5-8,1,0,1st Serve In,Body,Body,,False,Near,78.0,201.0,,,Down the Line,Backhand,Long,,Crosscourt,Forehand,Rudy Quan,Error,Aristotelis Thanos,,False,,,1,0,0,3,1,15,30,,,5,1st Serve In,Ad: Body,,,Crosscourt,Forehand,Error,,,Down the Line,Backhand,,,,0.0,1.0,2.0,0.0,"Set 1: 3-1, 15-30 Rudy Quan Serving"
29,Rudy Quan,Aristotelis Thanos,15-40,3-1,0-0,,Deuce,Rudy Quan,Aristotelis Thanos,UCLA,Michigan State University,1221343.0,1240985.0,19642.0,14,13+,1,0,1st Serve In,T,T,,False,Near,-37.0,233.0,,,Down the Line,Forehand,,,Crosscourt,Backhand,Aristotelis Thanos,Winner,Aristotelis Thanos,,True,Rudy Quan,Aristotelis Thanos,1,0,0,3,1,15,40,,,5,1st Serve In,Deuce: T,,,,,,,,Down the Line,Forehand,Crosscourt,Backhand,Winner,0.0,1.0,4.0,4.0,"Set 1: 3-1, 15-40 Rudy Quan Serving"
30,Rudy Quan,Aristotelis Thanos,30-40,3-1,0-0,,Ad,Rudy Quan,Aristotelis Thanos,UCLA,Michigan State University,1275858.0,1321857.0,45999.0,30,13+,1,0,1st Serve In,Body,Body,,False,Near,91.0,230.0,,,Crosscourt,Backhand,Net,,Crosscourt,Forehand,Aristotelis Thanos,Error,Rudy Quan,,True,,,1,0,0,3,1,30,40,,,5,1st Serve In,Ad: Body,,,,,,,,Crosscourt,Backhand,Crosscourt,Forehand,Error,0.0,3.0,9.0,4.0,"Set 1: 3-1, 30-40 Rudy Quan Serving"
