Date,Round,Player 1,Player 2,Score,Tournament,1st_serve_percentage_player1,1st_serve_percentage_player2,1st_serve_points_won_player1,1st_serve_points_won_player2,2nd_serve_points_won_player1,2nd_serve_points_won_player2,break_points_won_player1,break_points_won_player2,total_return_points_won_player1,total_return_points_won_player2,total_points_won_player1,total_points_won_player2,double_faults_player1,double_faults_player2,aces_player1,aces_player2
2018-03-19,qual.,Trent Bryde,Govind Nanda,"6-2, 1-6, 6-4",USA F8,48/75,46/85,33/48,31/46,8/27,14/39,5/14,5/8,40/85,34/75,81/160,79/160,6,4,1,3
2018-03-19,q 2,Govind Nanda,Sekou Bangoura,"6-4, 6-3",USA F8,,,,,,,,,,,,,,,,
2018-07-09,1st round,Govind Nanda,Facundo Diaz Acosta,"7-65, 6-2",Wimbledon (juniors),,,,,,,,,,,,,,,,
2018-07-10,2nd round,Nicolas Alvarez Varona,Govind Nanda,"3-6, 6-4, 6-2",Wimbledon (juniors),,,,,,,,,,,,,,,,
2018-07-22,q 1,Govind Nanda,Kareem Allaf,"4-6, 6-4, 6-2",USA F20,,,,,,,,,,,,,,,,
2018-07-23,q 2,Govind Nanda,Strong Kirchheimer,"3-6, 7-63, 3-0,    - retired",USA F20,,,,,,,,,,,,,,,,
2018-07-24,qual.,Govind Nanda,Alex Kobelt,"6-2, 6-3",USA F20,37/55,19/39,25/37,15/19,13/18,9/20,3/3,0/2,15/39,17/55,53/94,41/94,2,4,1,1
2018-07-24,1st round,Axel Geller,Govind Nanda,"6-4, 4-6, 6-3",USA F20,54/101,50/91,39/54,37/50,22/47,19/41,4/10,2/7,35/91,40/101,96/192,96/192,8,1,1,6
2018-07-29,q 1,Govind Nanda,Tristan Boyer,"6-75, 7-5, 6-2",USA F21,,,,,,,,,,,,,,,,
2018-07-31,q 2,Govind Nanda,Alexander Knight,"6-75, 7-65, 6-3",USA F21,,,,,,,,,,,,,,,,
2018-07-31,qual.,Govind Nanda,Rowland Phillips,"6-1, 6-4",USA F21,36/64,34/52,21/36,17/34,16/28,6/18,5/9,2/7,29/52,27/64,66/116,50/116,0,1,2,0
2018-08-01,1st round,Govind Nanda,Mousheg Hovhannisyan,"6-2, 6-2",USA F21,32/49,35/62,23/32,16/35,11/17,16/27,4/6,0/1,30/62,15/49,64/111,47/111,2,2,3,1
2018-08-02,2nd round,Aron Hiltzik,Govind Nanda,"6-4, 6-3",USA F21,39/61,32/61,25/39,14/32,11/22,14/29,6/8,3/7,33/61,25/61,69/122,53/122,5,8,2,0
2018-09-03,1st round,Nick Hardt,Govind Nanda,"6-4, 7-68",U.S. Open,,,,,,,,,,,,,,,,
2018-09-19,1st round,Govind Nanda,Milen Ianakiev,"7-5, 6-1",USA F25,32/60,29/53,24/32,13/29,13/28,10/24,6/11,3/8,30/53,23/60,67/113,46/113,2,1,5,0
2018-09-20,2nd round,Henry Craig,Govind Nanda,"6-3, 6-2",USA F25,39/60,43/58,26/39,25/43,14/21,7/15,4/6,0/3,26/58,20/60,66/118,52/118,0,1,3,0
2018-09-22,,Govind Nanda,Jordan Sauer,"6-3, 6-4",USA F26,,,,,,,,,,,,,,,,
2018-09-23,q 2,Govind Nanda,Lukas Moenter,"6-3, 6-0",USA F26,,,,,,,,,,,,,,,,
2018-09-23,q 1,Govind Nanda,Fernando Fonseca,"6-4, 6-1",USA F26,,,,,,,,,,,,,,,,
2018-09-25,qual.,Govind Nanda,George Goldhoff,"6-1, 6-2",USA F26,,,,,,,,,,,,,,,,
2018-09-26,1st round,Govind Nanda,Kevin Major,"6-4, 4-6, 6-4",USA F26,60/106,62/88,36/60,38/62,24/46,11/26,6/12,5/11,39/88,46/106,99/194,95/194,1,2,1,0
2018-09-27,2nd round,Lucas Gomez,Govind Nanda,"6-4, 3-6, 6-3",USA F26,54/88,49/90,37/54,27/49,17/34,23/41,5/16,4/8,40/90,34/88,94/178,84/178,5,1,2,7
2017-01-09,q 2,Alfredo Perez,Govind Nanda,"6-4, 6-0",USA F3,,,,,,,,,,,,,,,,
2017-01-09,q 1,Govind Nanda,Jordan Belga,"6-4, 6-2",USA F3,,,,,,,,,,,,,,,,
2017-01-09,,Govind Nanda,Rohit Navelkar,"7-5, 6-0",USA F3,,,,,,,,,,,,,,,,
2017-01-23,,Govind Nanda,Thomas Macleod,"6-1, 6-1",USA F5,,,,,,,,,,,,,,,,
2017-01-23,q 1,Govind Nanda,Preston Brown,"6-4, 7-5",USA F5,,,,,,,,,,,,,,,,
2017-01-23,q 2,Nick Chappell,Govind Nanda,"3-6, 6-2, 6-4",USA F5,,,,,,,,,,,,,,,,
