Date,Round,Player 1,Player 2,Score,Tournament,1st_serve_percentage_player1,1st_serve_percentage_player2,1st_serve_points_won_player1,1st_serve_points_won_player2,2nd_serve_points_won_player1,2nd_serve_points_won_player2,total_return_points_won_player1,total_return_points_won_player2,total_points_won_player1,total_points_won_player2,double_faults_player1,double_faults_player2,aces_player1,aces_player2,break_points_won_player1,break_points_won_player2
2021-07-24,1st round,Novak Djokovic,Hugo Dellien,"6-2, 6-2",Tokyo,22/36,47/56,18/22,25/47,14/14,2/9,29/56,4/36,61/92,31/92,0,0,7,1,,
2021-07-26,2nd round,Novak Djokovic,Jan-Lennard Struff,"6-4, 6-3",Tokyo,41/58,27/50,34/41,20/27,7/16,8/21,22/50,17/58,63/107,45/106,1,2,14,3,3/3,1/2
2021-07-28,3rd round,Novak Djokovic,Alejandro Davidovich Fokina,"6-3, 6-1",Tokyo,32/48,43/63,26/32,21/43,9/15,10/18,32/63,13/48,67/110,44/109,1,2,9,0,4/9,0/2
2021-07-29,1/4,Novak Djokovic,Kei Nishikori,"6-2, 6-0",Tokyo,20/42,25/48,17/20,14/25,14/18,6/21,28/48,11/42,59/86,31/88,4,2,3,0,5/10,0/1
2021-07-30,1/2,Alexander Zverev,Novak Djokovic,"1-6, 6-3, 6-1",Tokyo,52/72,52/79,34/52,29/52,9/19,10/26,40/79,29/72,83/150,68/150,1,1,7,4,5/9,3/8
2021-07-31,bronze,Pablo Carreno-Busta,Novak Djokovic,"6-4, 6-76, 6-3",Tokyo,83/118,49/87,61/83,38/49,20/35,22/35,27/87,37/118,108/205,97/202,0,3,7,3,2/5,0/6
2021-08-31,1st round,Novak Djokovic,Holger Rune,"6-1, 6-75, 6-2, 6-1",New York,62/97,49/93,53/62,30/49,17/35,22/44,41/93,27/97,111/190,79/190,7,4,17,1,8/14,2/3
2021-09-02,2nd round,Novak Djokovic,Tallon Griekspoor,"6-2, 6-3, 6-2",New York,46/72,50/76,37/46,28/50,14/26,9/26,39/76,21/72,90/148,58/148,5,2,13,5,6/10,1/4
2021-09-04,3rd round,Novak Djokovic,Kei Nishikori,"6-74, 6-3, 6-3, 6-2",New York,82/131,93/143,63/82,59/93,25/49,22/50,62/143,43/131,150/274,124/274,7,3,15,6,7/16,2/13
2021-09-06,4th round,Novak Djokovic,Jenson Brooksby,"1-6, 6-3, 6-2, 6-2",New York,66/105,78/106,48/66,48/78,21/39,11/28,47/106,36/105,116/211,95/211,1,1,9,4,6/12,3/11
2021-09-08,1/4,Novak Djokovic,Matteo Berrettini,"5-7, 6-2, 6-2, 6-3",New York,72/117,91/147,53/72,55/91,30/45,28/56,64/147,34/117,147/264,117/264,4,2,12,17,5/16,1/5
2021-09-10,1/2,Novak Djokovic,Alexander Zverev,"4-6, 6-2, 6-4, 4-6, 6-2",New York,99/150,77/124,76/99,58/77,22/51,23/47,43/124,52/150,141/274,133/274,2,8,12,16,6/9,3/12
2021-09-12,fin,Daniil Medvedev,Novak Djokovic,"6-4, 6-4, 6-4",New York,52/90,50/92,42/52,40/50,22/38,17/42,35/92,26/90,99/182,83/182,9,3,16,6,4/8,1/6
2021-11-02,2nd round,Novak Djokovic,Marton Fucsovics,"6-2, 4-6, 6-3",Paris,53/78,54/90,41/53,38/54,14/25,13/36,39/90,23/78,94/168,74/168,0,6,3,8,4/11,2/2
2021-11-04,3rd round,Novak Djokovic,Gael Monfils,- walk over,Paris,,,,,,,,,,,,,,,,
2021-11-05,1/4,Novak Djokovic,Taylor Harry Fritz,"6-4, 6-3",Paris,34/47,37/59,25/34,20/37,6/13,7/22,32/59,16/47,63/106,43/106,3,4,8,5,5/9,3/5
2021-11-06,1/2,Novak Djokovic,Hubert Hurkacz,"3-6, 6-0, 7-65",Paris,43/77,69/104,33/43,49/69,21/34,12/35,43/104,23/77,97/181,84/181,3,2,5,12,4/12,2/3
2021-11-07,fin,Novak Djokovic,Daniil Medvedev,"4-6, 6-3, 6-3",Paris,57/86,51/88,45/57,30/51,9/29,18/37,40/88,32/86,94/174,80/174,2,3,6,7,5/6,3/10
2021-11-15,,Novak Djokovic,Casper Ruud,"7-64, 6-2",Turin,39/53,43/69,35/39,27/43,6/14,11/26,31/69,12/53,72/122,50/122,0,4,10,9,3/5,1/1
2021-11-17,,Novak Djokovic,Andrey Rublev,"6-3, 6-2",Turin,31/48,28/52,27/31,19/28,7/17,7/24,26/52,14/48,60/100,40/100,0,1,14,6,4/6,1/1
2021-11-19,,Novak Djokovic,Cameron Norrie,"6-2, 6-1",Turin,26/38,29/51,21/26,15/29,8/12,9/22,27/51,9/38,56/89,33/89,0,2,5,1,5/10,0/1
2021-11-20,1/2,Alexander Zverev,Novak Djokovic,"7-64, 4-6, 6-3",Turin,69/96,60/92,54/69,52/60,17/27,13/32,27/92,25/96,98/188,90/188,1,1,14,15,1/4,1/4
2021-11-26,,Novak Djokovic,Dennis Novak,"6-3, 6-2",Davis Cup,26/42,31/45,22/26,18/31,14/16,8/14,19/45,6/42,55/87,32/87,,,3,2,,
2021-11-27,,Novak Djokovic,Jan-Lennard Struff,"6-2, 6-4",Davis Cup,34/52,38/58,27/34,23/38,11/18,9/20,26/58,14/52,64/110,46/110,0,1,9,2,,
2021-12-01,,Novak Djokovic,Alexander Bublik,"6-3, 6-4",Davis Cup,32/53,39/73,29/32,28/39,13/21,15/34,30/73,11/53,72/126,54/126,3,7,4,12,2/11,0/2
2021-12-03,,Novak Djokovic,Marin Cilic,"6-4, 6-2",Davis Cup,39/60,37/66,29/39,23/37,13/21,13/29,30/66,18/60,72/126,54/126,1,3,4,6,3/8,0/8
2020-01-04,,Novak Djokovic,Kevin Anderson,"7-65, 7-66",Brisbane Perth,55/74,71/105,43/55,52/71,13/19,13/34,40/105,18/74,96/179,83/179,1,3,10,17,1/8,1/4
2020-01-06,,Novak Djokovic,Gael Monfils,"6-3, 6-2",Brisbane Perth,36/70,38/55,26/36,26/38,20/34,5/17,24/55,24/70,70/125,55/125,5,5,0,5,3/3,0/9
2020-01-08,,Novak Djokovic,Cristian Garin,"6-3, 6-3",Brisbane Perth,30/53,25/48,26/30,17/25,11/23,11/23,20/48,16/53,57/101,44/101,4,3,3,6,4/4,1/2
2020-01-10,1/4,Novak Djokovic,Denis Shapovalov,"4-6, 6-1, 7-64",Brisbane Perth,64/106,44/85,46/64,36/44,24/42,19/41,30/85,36/106,100/191,91/191,8,7,4,15,3/5,2/7
2020-01-11,1/2,Novak Djokovic,Daniil Medvedev,"6-1, 5-7, 6-4",Brisbane Perth,75/111,57/108,53/75,35/57,16/36,25/51,48/108,42/111,117/219,102/219,5,5,4,6,5/11,3/11
2020-01-12,fin,Novak Djokovic,Rafael Nadal,"6-2, 7-64",Brisbane Perth,49/64,51/70,41/49,39/51,9/15,6/19,25/70,14/64,75/134,59/134,2,3,12,5,2/8,0/5
2020-01-20,1st round,Novak Djokovic,Jan-Lennard Struff,"7-65, 6-2, 2-6, 6-1",Melbourne,60/92,63/112,46/60,41/63,16/32,20/49,51/112,30/92,113/204,91/204,3,7,14,13,7/11,4/5
2020-01-22,2nd round,Novak Djokovic,Tatsuma Ito,"6-1, 6-4, 6-2",Melbourne,46/64,50/77,43/46,33/50,10/18,9/27,35/77,11/64,88/141,53/141,5,1,16,9,,
2020-01-24,3rd round,Novak Djokovic,Yoshihito Nishioka,"6-3, 6-2, 6-2",Melbourne,46/62,43/74,43/46,29/43,11/16,12/31,33/74,8/62,87/136,49/136,2,4,17,1,5/6,0/1
2020-01-26,4th round,Novak Djokovic,Diego Sebastian Schwartzman,"6-3, 6-4, 6-4",Melbourne,55/86,50/89,41/55,31/50,21/31,19/39,39/89,24/86,101/175,74/175,1,4,8,1,4/8,1/3
2020-01-28,1/4,Novak Djokovic,Milos Raonic,"6-4, 6-3, 7-61",Melbourne,70/101,81/128,60/70,58/81,15/31,20/47,50/128,26/101,125/229,104/229,1,6,4,18,2/16,0/2
2020-01-30,1/2,Novak Djokovic,Roger Federer,"7-61, 6-4, 6-3",Melbourne,74/102,68/104,54/74,45/68,15/28,15/36,44/104,33/102,113/206,93/206,1,3,11,15,4/11,2/7
2020-02-02,fin,Novak Djokovic,Dominic Thiem,"6-4, 4-6, 2-6, 6-3, 6-4",Melbourne,87/134,108/170,66/87,75/108,24/47,28/62,67/170,44/134,157/304,147/304,5,5,9,13,5/12,5/12
2020-02-24,1st round,Novak Djokovic,Malek Jaziri,"6-1, 6-2",Dubai,30/43,21/46,25/30,9/21,8/13,12/25,25/46,10/43,58/89,31/89,3,3,7,2,,
