pointScore,gameScore,setScore,isPointStart,pointStartTime,isPointEnd,pointEndTime,pointNumber,isBreakPoint,shotInRally,side,serverName,serverFarNear,firstServeIn,firstServeZone,firstServeXCoord,firstServeYCoord,secondServeIn,secondServeZone,secondServeXCoord,secondServeYCoord,isAce,shotContactX,shotContactY,shotDirection,shotFhBh,isSlice,isVolley,isOverhead,isApproach,isDropshot,isExcitingPoint,atNetPlayer1,atNetPlayer2,isLob,shotLocationX,shotLocationY,isWinner,isErrorWideR,isErrorWideL,isErrorNet,isErrorLong,clientTeam,Date,Division,Event,lineupPosition,matchDetails,matchVenue,opponentTeam,player1Name,player2Name,player1Hand,player2Hand,Round,Surface,Notes,tiebreakScore,returnerName,shotHitBy,isInsideOut,isInsideIn,isDoubleFault,pointWonBy,lastShotError,serveResult,serveInPlacement
15-0,1-0,0-0,,358063,1.0,,9,,2,Ad,Elise Wagle,Near,,,,,,,,,,107.0,480.0,Down the Line,Backhand,,,,,,,,,,60.0,2.0,,,,1.0,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Motka Komac,Motka Komac,,,,Elise Wagle,1,,
30-0,1-0,0-0,1.0,387723,,,10,,1,Deuce,Elise Wagle,Near,0.0,Body,-56.0,323.0,1.0,Body,-64.0,197.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Motka Komac,Elise Wagle,,,,,0,2nd Serve In,Body
30-0,1-0,0-0,,405938,,,10,,2,Deuce,Elise Wagle,Near,,,,,,,,,,-64.0,467.0,Crosscourt,Forehand,,,,,,,,,,60.0,-246.0,,,,,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Motka Komac,Motka Komac,,,,,0,,
30-0,1-0,0-0,,407099,,,10,,3,Deuce,Elise Wagle,Near,,,,,,,,,,125.0,-526.0,Down the Line,Forehand,1.0,,,,,,,,,73.0,272.0,,,,,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Motka Komac,Elise Wagle,,,,,0,,
30-0,1-0,0-0,,409367,1.0,414275.0,10,,4,Ad,Elise Wagle,Near,,,,,,,,,,123.0,293.0,Down the Line,Forehand,,,,1.0,,,,,,126.0,-502.0,,,,,1.0,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Motka Komac,Motka Komac,,,,Elise Wagle,1,,
40-0,1-0,0-0,1.0,440352,1.0,,11,,1,Ad,Elise Wagle,Near,1.0,Wide,109.0,243.0,,,,,1,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Motka Komac,Elise Wagle,,,,Elise Wagle,0,1st Serve In,Wide
0-0,2-0,0-0,1.0,469855,,,12,,1,Deuce,Motka Komac,Far,0.0,Body,50.0,-261.0,1.0,T,48.0,-210.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Elise Wagle,Motka Komac,,,,,0,2nd Serve In,T
0-0,2-0,0-0,,483719,,,12,,2,Deuce,Motka Komac,Far,,,,,,,,,,141.0,-480.0,Crosscourt,Backhand,,,,,,,,,,-110.0,416.0,,,,,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Elise Wagle,Elise Wagle,,,,,0,,
0-0,2-0,0-0,,485316,1.0,,12,,3,Deuce,Motka Komac,Far,,,,,,,,,,-136.0,485.0,Crosscourt,Forehand,,,,,,,,,,176.0,-274.0,,,1.0,,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Elise Wagle,Motka Komac,,,,Elise Wagle,1,,
15-0,2-0,0-0,1.0,507449,,,13,,1,Ad,Motka Komac,Far,1.0,Body,-94.0,-234.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Elise Wagle,Motka Komac,,,,,0,1st Serve In,Body
