pointNumber,player1Name,player2Name,pointScore,gameScore,setScore,tiebreakScore,side,serverName,returnerName,clientTeam,opponentTeam,Position,pointEndPosition,Duration,rallyCount,rallyCountFreq,firstServeIn,secondServeIn,serveResult,serveInPlacement,firstServeZone,secondServeZone,isAce,serverFarNear,firstServeXCoord,firstServeYCoord,secondServeXCoord,secondServeYCoord,returnDirection,returnFhBh,errorType,returnError,lastShotDirection,lastShotFhBh,lastShotHitBy,lastShotResult,pointWonBy,isExcitingPoint,isBreakPoint,atNetPlayer1,atNetPlayer2,setNum,player1SetScore,player2SetScore,player1GameScore,player2GameScore,player1PointScore,player2PointScore,player1TiebreakScore,player2TiebreakScore,gameNumber,player1ServeResult,player1ServePlacement,player1ReturnPlacement,player1ReturnFhBh,player1LastShotPlacement,player1LastShotFhBh,player1LastShotResult,player2ServeResult,player2ServePlacement,player2ReturnPlacement,player2ReturnFhBh,player2LastShotPlacement,player2LastShotFhBh,player2LastShotResult,deepCountPlayer1,deepCountPlayer2,shortCountPlayer1,shortCountPlayer2,Name
52,Govind Nanda,Nishesh Basavareddy,0-0,0-1,0-1,,Deuce,Nishesh Basavareddy,Govind Nanda,UCLA,Stanford,2720265.0,,,1,1-4,0,0,Double Fault,T,Body,T,False,Far,94.0,0.0,32.0,0.0,,,,,,,Nishesh Basavareddy,,Govind Nanda,,False,,,2,0,1,0,1,0,0,,,2,,,,,,,,Double Fault,Deuce: T,,,,,,0.0,0.0,0.0,0.0,"Set 2: 0-1, 0-0 Nishesh Basavareddy Serving"
53,Govind Nanda,Nishesh Basavareddy,15-0,0-1,0-1,,Ad,Nishesh Basavareddy,Govind Nanda,UCLA,Stanford,2742696.0,,,12,9-12,0,1,2nd Serve In,Wide,Wide,Wide,False,Far,-197.0,-245.0,-130.0,-195.0,Crosscourt,Backhand,Wide Right,,Down the Line,Forehand,Govind Nanda,Error,Nishesh Basavareddy,,False,Govind Nanda,Nishesh Basavareddy,2,0,1,0,1,15,0,,,2,,,Crosscourt,Backhand,Down the Line,Forehand,Error,2nd Serve In,Ad: Wide,,,,,,4.0,1.0,1.0,4.0,"Set 2: 0-1, 15-0 Nishesh Basavareddy Serving"
54,Govind Nanda,Nishesh Basavareddy,15-15,0-1,0-1,,Deuce,Nishesh Basavareddy,Govind Nanda,UCLA,Stanford,2807506.0,,,13,13+,1,0,1st Serve In,T,T,,False,Far,27.0,-210.0,,,Down the Line,Backhand,Net,,Crosscourt,Backhand,Nishesh Basavareddy,Error,Govind Nanda,,False,,,2,0,1,0,1,15,15,,,2,,,Down the Line,Backhand,,,,1st Serve In,Deuce: T,,,Crosscourt,Backhand,Error,3.0,2.0,3.0,3.0,"Set 2: 0-1, 15-15 Nishesh Basavareddy Serving"
55,Govind Nanda,Nishesh Basavareddy,15-30,0-1,0-1,,Ad,Nishesh Basavareddy,Govind Nanda,UCLA,Stanford,2852799.0,,,2,1-4,0,1,2nd Serve In,T,T,T,False,Far,-42.0,-362.0,-45.0,-232.0,Crosscourt,Forehand,Net,Net,Crosscourt,Forehand,Govind Nanda,Error,Nishesh Basavareddy,,False,,,2,0,1,0,1,15,30,,,2,,,Crosscourt,Forehand,Crosscourt,Forehand,Error,2nd Serve In,Ad: T,,,,,,0.0,0.0,0.0,0.0,"Set 2: 0-1, 15-30 Nishesh Basavareddy Serving"
56,Govind Nanda,Nishesh Basavareddy,30-30,0-1,0-1,,Deuce,Nishesh Basavareddy,Govind Nanda,UCLA,Stanford,2897558.0,,,6,5-8,0,1,2nd Serve In,Body,Wide,Body,False,Far,187.0,-210.0,86.0,-176.0,Down the Line,Forehand,Net,,Down the Line,Forehand,Govind Nanda,Error,Nishesh Basavareddy,,False,,,2,0,1,0,1,30,30,,,2,,,Down the Line,Forehand,Down the Line,Forehand,Error,2nd Serve In,Deuce: Body,,,,,,1.0,1.0,1.0,1.0,"Set 2: 0-1, 30-30 Nishesh Basavareddy Serving"
57,Govind Nanda,Nishesh Basavareddy,40-30,0-1,0-1,,Ad,Nishesh Basavareddy,Govind Nanda,UCLA,Stanford,2952286.0,,,4,1-4,1,0,1st Serve In,Body,Body,,False,Far,-58.0,-213.0,,,Down the Line,Forehand,Long,,Down the Line,Forehand,Govind Nanda,Error,Nishesh Basavareddy,,False,,,2,0,1,0,1,40,30,,,2,,,Down the Line,Forehand,Down the Line,Forehand,Error,1st Serve In,Ad: Body,,,,,,0.0,0.0,1.0,1.0,"Set 2: 0-1, 40-30 Nishesh Basavareddy Serving"
58,Govind Nanda,Nishesh Basavareddy,0-0,0-2,0-1,,Deuce,Govind Nanda,Nishesh Basavareddy,UCLA,Stanford,3005278.0,,,11,9-12,1,0,1st Serve In,Body,Body,,False,Near,-74.0,197.0,,,Down the Line,Forehand,,,Crosscourt,Forehand,Govind Nanda,Winner,Govind Nanda,,False,,,2,0,1,0,2,0,0,,,3,1st Serve In,Deuce: Body,,,Crosscourt,Forehand,Winner,,,Down the Line,Forehand,,,,1.0,1.0,4.0,2.0,"Set 2: 0-2, 0-0 Govind Nanda Serving"
59,Govind Nanda,Nishesh Basavareddy,15-0,0-2,0-1,,Ad,Govind Nanda,Nishesh Basavareddy,UCLA,Stanford,3041433.0,,,8,5-8,0,1,2nd Serve In,Body,Wide,Body,False,Near,181.0,237.0,70.0,229.0,Down the Line,Forehand,,,Crosscourt,Forehand,Nishesh Basavareddy,Winner,Nishesh Basavareddy,,False,,Nishesh Basavareddy,2,0,1,0,2,15,0,,,3,2nd Serve In,Ad: Body,,,,,,,,Down the Line,Forehand,Crosscourt,Forehand,Winner,0.0,1.0,3.0,3.0,"Set 2: 0-2, 15-0 Govind Nanda Serving"
60,Govind Nanda,Nishesh Basavareddy,15-15,0-2,0-1,,Deuce,Govind Nanda,Nishesh Basavareddy,UCLA,Stanford,3097143.0,,,1,1-4,1,0,1st Serve In,T,T,,True,Near,-34.0,229.0,,,,,,,,,Govind Nanda,,Govind Nanda,,False,,,2,0,1,0,2,15,15,,,3,Ace,Deuce: T,,,,,,,,,,,,,0.0,0.0,0.0,0.0,"Set 2: 0-2, 15-15 Govind Nanda Serving"
61,Govind Nanda,Nishesh Basavareddy,30-15,0-2,0-1,,Ad,Govind Nanda,Nishesh Basavareddy,UCLA,Stanford,3141391.0,,,10,9-12,1,0,1st Serve In,Body,Body,,False,Near,91.0,192.0,,,Crosscourt,Backhand,Net,,Down the Line,Backhand,Nishesh Basavareddy,Error,Govind Nanda,,False,,,2,0,1,0,2,30,15,,,3,1st Serve In,Ad: Body,,,,,,,,Crosscourt,Backhand,Down the Line,Backhand,Error,0.0,0.0,4.0,4.0,"Set 2: 0-2, 30-15 Govind Nanda Serving"
