pointScore,gameScore,setScore,isPointStart,pointStartTime,isPointEnd,pointEndTime,pointNumber,isBreakPoint,shotInRally,side,serverName,serverFarNear,firstServeIn,firstServeZone,firstServeXCoord,firstServeYCoord,secondServeIn,secondServeZone,secondServeXCoord,secondServeYCoord,isAce,shotContactX,shotContactY,shotDirection,shotFhBh,isSlice,isVolley,isOverhead,isApproach,isDropshot,isExcitingPoint,atNetPlayer1,atNetPlayer2,isLob,shotLocationX,shotLocationY,isWinner,isErrorWideR,isErrorWideL,isErrorNet,isErrorLong,clientTeam,Date,Division,Event,lineupPosition,matchDetails,matchVenue,opponentTeam,player1Name,player2Name,player1Hand,player2Hand,Round,Surface,Notes
40-40,0-1,0-0,1,569443,,,,,1,Deuce,Nishesh Basavareddy,Far,0,T,-130,-169,1,T,3,-155,,,,,,,,,,,,,,,,,,,,,,UCLA,04/12/24,D1,,,,LATC,Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,
40-40,0-1,0-0,,595460,,,,,2,Deuce,Nishesh Basavareddy,Far,,,,,,,,,,117,-349,Down the Line,Forehand,,,,,,,,,,40,280,,,,,,UCLA,04/12/24,D1,,,,LATC,Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,
40-40,0-1,0-0,,596498,,,,,3,Ad,Nishesh Basavareddy,Far,,,,,,,,,,8,477,Crosscourt,Backhand,,,,,,,,,,-135,-266,,,,,,UCLA,04/12/24,D1,,,,LATC,Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,
40-40,0-1,0-0,,597744,,,,,4,Ad,Nishesh Basavareddy,Far,,,,,,,,,,-194,-498,Crosscourt,Backhand,,,,,,,,,,51,261,,,,,,UCLA,04/12/24,D1,,,,LATC,Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,
40-40,0-1,0-0,,599012,,,,,5,Ad,Nishesh Basavareddy,Far,,,,,,,,,,78,480,Crosscourt,Backhand,,,,,,,,,,-50,-258,,,,,,UCLA,04/12/24,D1,,,,LATC,Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,
40-40,0-1,0-0,,600298,,,,,6,Ad,Nishesh Basavareddy,Far,,,,,,,,,,-136,-493,Crosscourt,Backhand,,,,,,,,,,38,261,,,,,,UCLA,04/12/24,D1,,,,LATC,Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,
40-40,0-1,0-0,,601766,,,,,7,Ad,Nishesh Basavareddy,Far,,,,,,,,,,16,485,Down the Line,Backhand,,,,,,,,,,94,-274,,,,,,UCLA,04/12/24,D1,,,,LATC,Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,
40-40,0-1,0-0,,604799,,,,,8,Deuce,Nishesh Basavareddy,Far,,,,,,,,,,147,-426,Crosscourt,Forehand,,,,,,,,,,-106,392,,,,,,UCLA,04/12/24,D1,,,,LATC,Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,
40-40,0-1,0-0,,604800,,,,,9,Deuce,Nishesh Basavareddy,Far,,,,,,,,,,-133,485,Down the Line,Forehand,,,,,,,,,,-39,-187,,,,,,UCLA,04/12/24,D1,,,,LATC,Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,
40-40,0-1,0-0,,604801,,,,,10,Ad,Nishesh Basavareddy,Far,,,,,,,,,,-16,-461,Crosscourt,Forehand,,,,,,,,,,54,232,,,,,,UCLA,04/12/24,D1,,,,LATC,Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,
