pointScore,gameScore,setScore,isPointStart,pointStartTime,isPointEnd,pointEndTime,pointNumber,isBreakPoint,shotInRally,side,serverName,serverFarNear,firstServeIn,firstServeZone,firstServeXCoord,firstServeYCoord,secondServeIn,secondServeZone,secondServeXCoord,secondServeYCoord,isAce,shotContactX,shotContactY,shotDirection,shotFhBh,isSlice,isVolley,isOverhead,isApproach,isDropshot,isExcitingPoint,atNetPlayer1,atNetPlayer2,isLob,shotLocationX,shotLocationY,isWinner,isErrorWideR,isErrorWideL,isErrorNet,isErrorLong,clientTeam,Date,Division,Event,lineupPosition,matchDetails,matchVenue,opponentTeam,player1Name,player2Name,player1Hand,player2Hand,Round,Surface,Notes,tiebreakScore,returnerName,shotHitBy,InsideOut,InsideIn,isDoubleFault,pointWonBy,lastShotError,serveResult,serveInPlacement,depth
0-0,0-1,0-0,1.0,352604,1.0,,7,,1,Deuce,Nishesh Basavareddy,Far,0.0,Wide,168.0,-236.0,0.0,Body,62.0,0.0,,,,,,,,,,,,,,,,,,,,,,UCLA,4/12/24,Division 1,Dual-Match,,,"Los Angeles, California",Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,,,Govind Nanda,Nishesh Basavareddy,,,1,Govind Nanda,,Double Fault,Body,
15-0,0-1,0-0,1.0,366522,,,8,,1,Ad,Nishesh Basavareddy,Far,1.0,T,-50.0,-214.0,,,,,,,,,,,,,,,,,,,,,,,,,,UCLA,4/12/24,Division 1,Dual-Match,,,"Los Angeles, California",Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,,,Govind Nanda,Nishesh Basavareddy,,,,,,1st Serve In,T,
15-0,0-1,0-0,,404051,,,8,,2,Ad,Nishesh Basavareddy,Far,,,,,,,,,,-29.0,-474.0,Down the Line,Forehand,,,,,,,,,,-109.0,37.0,,,,,,UCLA,4/12/24,Division 1,Dual-Match,,,"Los Angeles, California",Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,,,Govind Nanda,Govind Nanda,,1.0,,,,,,Short
15-0,0-1,0-0,,405141,1.0,,8,,3,Deuce,Nishesh Basavareddy,Far,,,,,,,,,,-32.0,434.0,Crosscourt,Forehand,,,,,,,,,,182.0,-365.0,,,1.0,,,UCLA,4/12/24,Division 1,Dual-Match,,,"Los Angeles, California",Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,,,Govind Nanda,Nishesh Basavareddy,,,,Govind Nanda,1,,,
30-0,0-1,0-0,1.0,409229,,,9,,1,Deuce,Nishesh Basavareddy,Far,1.0,T,22.0,-225.0,,,,,,,,,,,,,,,,,,,,,,,,,,UCLA,4/12/24,Division 1,Dual-Match,,,"Los Angeles, California",Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,,,Govind Nanda,Nishesh Basavareddy,,,,,,1st Serve In,T,
30-0,0-1,0-0,,426579,,,9,,2,Deuce,Nishesh Basavareddy,Far,,,,,,,,,,80.0,-477.0,Down the Line,Backhand,,,,,,,,,,30.0,234.0,,,,,,UCLA,4/12/24,Division 1,Dual-Match,,,"Los Angeles, California",Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,,,Govind Nanda,Govind Nanda,,1.0,,,,,,Short
30-0,0-1,0-0,,427680,,,9,,3,Deuce,Nishesh Basavareddy,Far,,,,,,,,,,-13.0,397.0,Crosscourt,Backhand,,,,,,,,,,86.0,-370.0,,,,,,UCLA,4/12/24,Division 1,Dual-Match,,,"Los Angeles, California",Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,,,Govind Nanda,Nishesh Basavareddy,1.0,,,,,,,Deep
30-0,0-1,0-0,,429164,,,9,,4,Deuce,Nishesh Basavareddy,Far,,,,,,,,,,107.0,-485.0,Crosscourt,Forehand,,,,,,,,,,-135.0,325.0,,,,,,UCLA,4/12/24,Division 1,Dual-Match,,,"Los Angeles, California",Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,,,Govind Nanda,Govind Nanda,,,,,,,,Short
30-0,0-1,0-0,,430540,,,9,,5,Deuce,Nishesh Basavareddy,Far,,,,,,,,,,-170.0,477.0,Crosscourt,Forehand,,,,,,,,,,83.0,-266.0,,,,,,UCLA,4/12/24,Division 1,Dual-Match,,,"Los Angeles, California",Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,,,Govind Nanda,Nishesh Basavareddy,,,,,,,,Short
30-0,0-1,0-0,,431710,,,9,,6,Deuce,Nishesh Basavareddy,Far,,,,,,,,,,197.0,-469.0,Down the Line,Forehand,,,,,,,,,,94.0,229.0,,,,,,UCLA,4/12/24,Division 1,Dual-Match,,,"Los Angeles, California",Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,,,Govind Nanda,Govind Nanda,,,,,,,,Short
30-0,0-1,0-0,,432876,,,9,,7,Ad,Nishesh Basavareddy,Far,,,,,,,,,,0.0,474.0,Down the Line,Backhand,,,,,,,,,,-111.0,-360.0,,,,,,UCLA,4/12/24,Division 1,Dual-Match,,,"Los Angeles, California",Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,,,Govind Nanda,Nishesh Basavareddy,,,,,,,,Deep
30-0,0-1,0-0,,434510,,,9,,8,Ad,Nishesh Basavareddy,Far,,,,,,,,,,-122.0,-474.0,Crosscourt,Backhand,,,,,1.0,,,,,80.0,293.0,,,,,,UCLA,4/12/24,Division 1,Dual-Match,,,"Los Angeles, California",Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,,,Govind Nanda,Govind Nanda,,,,,,,,Short
30-0,0-1,0-0,,436551,,,9,,9,Ad,Nishesh Basavareddy,Far,,,,,,,,,,83.0,474.0,Crosscourt,Backhand,,,,,,,,,,-135.0,-272.0,,,,,,UCLA,4/12/24,Division 1,Dual-Match,,,"Los Angeles, California",Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,,,Govind Nanda,Nishesh Basavareddy,,,,,,,,Short
30-0,0-1,0-0,,437700,,,9,,10,Ad,Nishesh Basavareddy,Far,,,,,,,,,,-202.0,-450.0,Crosscourt,Backhand,1.0,,,,,,,,,80.0,282.0,,,,,,UCLA,4/12/24,Division 1,Dual-Match,,,"Los Angeles, California",Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,,,Govind Nanda,Govind Nanda,,,,,,,,Short
30-0,0-1,0-0,,439586,1.0,,9,,11,Ad,Nishesh Basavareddy,Far,,,,,,,,,,91.0,434.0,Down the Line,Backhand,,,,,,,,,,155.0,-466.0,,,,,1.0,UCLA,4/12/24,Division 1,Dual-Match,,,"Los Angeles, California",Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,,,Govind Nanda,Nishesh Basavareddy,,,,Govind Nanda,1,,,Long
40-0,0-1,0-0,1.0,453646,,,10,,1,Ad,Nishesh Basavareddy,Far,1.0,Wide,-136.0,-129.0,,,,,,,,,,,,,,,,,,,,,,,,,,UCLA,4/12/24,Division 1,Dual-Match,,,"Los Angeles, California",Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,,,Govind Nanda,Nishesh Basavareddy,,,,,,1st Serve In,Wide,
40-0,0-1,0-0,,471964,,,10,,2,Ad,Nishesh Basavareddy,Far,,,,,,,,,,-242.0,-514.0,Crosscourt,Backhand,,,,,,,,,,115.0,179.0,,,,,,UCLA,4/12/24,Division 1,Dual-Match,,,"Los Angeles, California",Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,,,Govind Nanda,Govind Nanda,,,,,,,,Short
40-0,0-1,0-0,,471965,,,10,,3,Ad,Nishesh Basavareddy,Far,,,,,,,,,,120.0,328.0,Down the Line,Backhand,,,,,,,,,,120.0,-413.0,,,,,,UCLA,4/12/24,Division 1,Dual-Match,,,"Los Angeles, California",Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,,,Govind Nanda,Nishesh Basavareddy,,,,,,,,Deep
40-0,0-1,0-0,,472828,,,10,,4,Deuce,Nishesh Basavareddy,Far,,,,,,,,,,91.0,-530.0,Crosscourt,Forehand,,,,,,,,,,-7.0,48.0,,,,,,UCLA,4/12/24,Division 1,Dual-Match,,,"Los Angeles, California",Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,,,Govind Nanda,Govind Nanda,,,,,,,,Short
40-0,0-1,0-0,,474987,,,10,,5,Deuce,Nishesh Basavareddy,Far,,,,,,,,,,-10.0,53.0,Down the Line,Forehand,,1.0,,,,,,1,,-130.0,-261.0,,,,,,UCLA,4/12/24,Division 1,Dual-Match,,,"Los Angeles, California",Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,,,Govind Nanda,Nishesh Basavareddy,,,,,,,,Short
40-0,0-1,0-0,,478316,1.0,,10,,6,Ad,Nishesh Basavareddy,Far,,,,,,,,,,-128.0,-490.0,Down the Line,Backhand,,,,,,,,1.0,,-173.0,96.0,,,1.0,,,UCLA,4/12/24,Division 1,Dual-Match,,,"Los Angeles, California",Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,,,Govind Nanda,Govind Nanda,,,,Nishesh Basavareddy,1,,,
40-15,0-1,0-0,1.0,478317,,,11,,1,Deuce,Nishesh Basavareddy,Far,1.0,Body,96.0,-199.0,,,,,,,,,,,,,,,,,,,,,,,,,,UCLA,4/12/24,Division 1,Dual-Match,,,"Los Angeles, California",Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,,,Govind Nanda,Nishesh Basavareddy,,,,,,1st Serve In,Body,
40-15,0-1,0-0,,500576,,,11,,2,Deuce,Nishesh Basavareddy,Far,,,,,,,,,,165.0,-440.0,Down the Line,Forehand,,,,,,,,,,48.0,285.0,,,,,,UCLA,4/12/24,Division 1,Dual-Match,,,"Los Angeles, California",Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,,,Govind Nanda,Govind Nanda,,,,,,,,Short
40-15,0-1,0-0,,501657,,,11,,3,Ad,Nishesh Basavareddy,Far,,,,,,,,,,8.0,469.0,Crosscourt,Backhand,,,,,,,,,,-71.0,-314.0,,,,,,UCLA,4/12/24,Division 1,Dual-Match,,,"Los Angeles, California",Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,,,Govind Nanda,Nishesh Basavareddy,,,,,,,,Short
40-15,0-1,0-0,,502901,,,11,,4,Ad,Nishesh Basavareddy,Far,,,,,,,,,,-114.0,-477.0,Crosscourt,Backhand,,,,,,,,,,75.0,256.0,,,,,,UCLA,4/12/24,Division 1,Dual-Match,,,"Los Angeles, California",Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,,,Govind Nanda,Govind Nanda,,,,,,,,Short
40-15,0-1,0-0,,504506,,,11,,5,Ad,Nishesh Basavareddy,Far,,,,,,,,,,64.0,466.0,Down the Line,Backhand,,,,,,,,,,96.0,-293.0,,,,,,UCLA,4/12/24,Division 1,Dual-Match,,,"Los Angeles, California",Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,,,Govind Nanda,Nishesh Basavareddy,,,,,,,,Short
40-15,0-1,0-0,,505523,,,11,,6,Deuce,Nishesh Basavareddy,Far,,,,,,,,,,149.0,-493.0,Crosscourt,Forehand,,,,,,,,,,-50.0,277.0,,,,,,UCLA,4/12/24,Division 1,Dual-Match,,,"Los Angeles, California",Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,,,Govind Nanda,Govind Nanda,,,,,,,,Short
40-15,0-1,0-0,,506958,,,11,,7,Deuce,Nishesh Basavareddy,Far,,,,,,,,,,-128.0,477.0,Crosscourt,Forehand,,,,,,,,,,43.0,-258.0,,,,,,UCLA,4/12/24,Division 1,Dual-Match,,,"Los Angeles, California",Stanford,Govind Nanda,Nishesh Basavareddy,Right,Right,,Hard,,,Govind Nanda,Nishesh Basavareddy,,,,,,,,Short
