Player,Shot,Type,Stroke,Spin,Speed (MPH),Point,Game,Set,Bounce Depth,Bounce Zone,Bounce Side,Bounce (x),Bounce (y),Hit Depth,Hit Zone,Hit Side,Hit (x),Hit (y),Hit (z),Direction,Result,Favorited,Start Time,Video Time
Ferguson,1,serve,Serve,Slice,49.33474,106,0,0,service_box,deuce,far,-1.404731,17.059433,no_mans_land,deuce,near,1.082268,0.968708,2.799928,down the T,In,false,21:48:12,2920.810059
Aadarsh,2,return,Forehand,Topspin,41.183887,106,0,0,service_box,deuce,near,3.114972,6.177888,no_mans_land,deuce,far,-2.039536,23.695679,1.747192,cross court,In,false,21:48:13,2921.949951
Ferguson,3,serve_plus_one,Forehand,Flat,56.083408,106,0,0,service_box,ad,near,-1.128542,11.462691,out,deuce,near,3.89583,-2.543334,0.639783,down the line,Net,false,21:48:15,2923.689941
Ferguson,1,serve,Serve,Kick,90.432159,107,0,0,no_mans_land,ad,far,2.779396,20.553978,no_mans_land,ad,near,-1.442817,-0.483038,2.754769,out wide,Out,false,21:48:42,2950.129883
Aadarsh,2,return,Backhand,Topspin,44.371853,107,0,0,service_box,ad,near,-0.301228,6.288916,out,ad,far,4.049187,25.440781,1.229047,cross court,In,false,21:48:43,2951.01001
Ferguson,1,serve,Serve,Kick,64.601501,108,0,0,service_box,ad,far,1.742035,15.868527,out,ad,near,-1.600083,-0.720815,2.78926,down the T,In,false,21:48:53,2961.389893
Aadarsh,2,return,Forehand,Topspin,77.942482,108,0,0,no_mans_land,ad,near,-1.433437,4.615123,no_mans_land,ad,far,2.976533,21.65851,1.88116,inside out,In,false,21:48:54,2962.530029
Ferguson,3,serve_plus_one,Backhand,Slice,39.706722,108,0,0,service_box,deuce,far,-2.451106,18.238951,no_mans_land,ad,near,-2.659884,-0.451354,0.696944,down the line,In,false,21:48:55,2963.72998
Aadarsh,4,return_plus_one,Forehand,Slice,39.301056,108,0,0,no_mans_land,ad,near,-1.012717,4.22964,no_mans_land,deuce,far,-2.613478,23.708773,0.701598,down the line,In,false,21:48:57,2965.5
Ferguson,5,in_play,Forehand,Topspin,52.526814,108,0,0,no_mans_land,ad,far,2.564582,19.396158,no_mans_land,ad,near,-0.953497,0.268091,0.755291,inside out,In,false,21:48:59,2967.179932
