pointScore,gameScore,setScore,isPointStart,pointStartTime,isPointEnd,pointEndTime,pointNumber,isBreakPoint,shotInRally,side,serverName,serverFarNear,firstServeIn,firstServeZone,firstServeXCoord,firstServeYCoord,secondServeIn,secondServeZone,secondServeXCoord,secondServeYCoord,isAce,shotContactX,shotContactY,shotDirection,shotFhBh,isSlice,isVolley,isOverhead,isApproach,isDropshot,isExcitingPoint,atNetPlayer1,atNetPlayer2,isLob,shotLocationX,shotLocationY,isWinner,isErrorWideR,isErrorWideL,isErrorNet,isErrorLong,clientTeam,Date,Division,Event,lineupPosition,matchDetails,matchVenue,opponentTeam,player1Name,player2Name,player1Hand,player2Hand,Round,Surface,Notes,isLet
0-0,1-1,0-0,NA,580846,NA,NA,NA,NA,5,Deuce,Player2,Far,NA,,NA,NA,NA,,NA,NA,NA,-103,133,Down the Line,Forehand,NA,NA,1,NA,NA,NA,NA,NA,NA,-21,-345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
0-0,1-1,0-0,NA,580847,1,583695,NA,NA,6,Deuce,Player2,Far,NA,,NA,NA,NA,,NA,NA,NA,27,-517,Down the Line,Forehand,NA,NA,NA,NA,NA,NA,NA,NA,1,102,484,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
0-15,1-1,0-0,1,605728,1,621226,NA,NA,1,Ad,Player2,Far,0,Wide,-167,-220,0,Body,-92,15,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
15-15,1-1,0-0,1,646391,NA,NA,NA,NA,1,Deuce,Player2,Far,1,Body,97,-191,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
15-15,1-1,0-0,NA,648825,NA,NA,NA,NA,2,Deuce,Player2,Far,NA,,NA,NA,NA,,NA,NA,NA,238,-504,Crosscourt,Forehand,NA,NA,NA,NA,NA,NA,NA,NA,NA,-55,329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
15-15,1-1,0-0,NA,651143,NA,NA,NA,NA,3,Deuce,Player2,Far,NA,,NA,NA,NA,,NA,NA,NA,-50,490,Crosscourt,Forehand,NA,NA,NA,NA,NA,NA,NA,NA,NA,123,-332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
15-15,1-1,0-0,NA,651835,NA,NA,NA,NA,4,Deuce,Player2,Far,NA,,NA,NA,NA,,NA,NA,NA,155,-509,Crosscourt,Forehand,NA,NA,NA,NA,NA,NA,NA,NA,NA,-130,404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
15-15,1-1,0-0,NA,652914,NA,NA,NA,NA,5,Deuce,Player2,Far,NA,,NA,NA,NA,,NA,NA,NA,-156,493,Down the Line,Forehand,NA,NA,NA,NA,NA,NA,NA,NA,NA,-106,-340,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
15-15,1-1,0-0,NA,654089,NA,NA,NA,NA,6,Ad,Player2,Far,NA,,NA,NA,NA,,NA,NA,NA,-71,-496,Crosscourt,Backhand,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
15-15,1-1,0-0,NA,655794,NA,NA,NA,NA,7,Ad,Player2,Far,NA,,NA,NA,NA,,NA,NA,NA,59,493,Down the Line,Backhand,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,-313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
