pointScore,gameScore,setScore,isPointStart,pointStartTime,isPointEnd,pointEndTime,pointNumber,isBreakPoint,shotInRally,side,serverName,serverFarNear,firstServeIn,firstServeZone,firstServeXCoord,firstServeYCoord,secondServeIn,secondServeZone,secondServeXCoord,secondServeYCoord,isAce,shotContactX,shotContactY,shotDirection,shotFhBh,isSlice,isVolley,isOverhead,isApproach,isDropshot,isExcitingPoint,atNetPlayer1,atNetPlayer2,isLob,shotLocationX,shotLocationY,isWinner,isErrorWide,isErrorNet,isErrorLong,clientTeam,Date,Division,Event,lineupPosition,matchDetails,matchVenue,opponentTeam,player1Name,player2Name,player1Hand,player2Hand,Round,Surface,Notes,Player,Shot,Type,Stroke,Spin,Speed (MPH),Point,Game,Set,Bounce Depth,Bounce Zone,Bounce Side,Bounce (x),Bounce (y),Hit Depth,Hit Zone,Hit Side,Hit (x),Hit (y),Hit (z),Direction,Result,Favorited,Start Time,Video Time,PlayerServer
30 - 40,0 - 0,0 - 0,0,13945199,0,,6.0,,7,Deuce_Alley,Player1,,,,,,,,,,0,-159.1239938756833,544.1458497372516,Down the Line,Forehand,1,,,,,,,,,-104.85137248463523,-265.2150262465821,,,,,,,,,,,,,,,,,,,,Aadarsh,7,in_play,Forehand,Slice,37.018429,10,0,0,no_mans_land,ad,near,-2.739317,4.958268,out,deuce_alley,far,-4.157228,26.103399,0.989202,down the line,In,False,21:03:24,232.419998,AadarshForehand
30 - 40,0 - 0,0 - 0,0,14071200,0,,6.0,,8,Ad,Player2,,,,,,,,,,0,-108.56338582671557,-369.76523950112136,Crosscourt,Backhand,1,,,,,,,,,97.46099081359793,300.84390857377286,,,,,,,,,,,,,,,,,,,,Ferguson,8,in_play,Backhand,Slice,40.181351,10,0,0,no_mans_land,ad,far,2.546238,19.746962,no_mans_land,ad,near,-2.836296,2.226819,0.523444,cross court,In,False,21:03:26,234.520004,FergusonBackhand
30 - 40,0 - 0,0 - 0,0,14158200,1,14158200,6.0,,9,Ad,Player1,,,,,,,,,,0,133.16332567797144,536.2269849078594,Crosscourt,Backhand,,,,,,,,,,-83.4980041556874,-394.1514818458157,1,,,,,,,,,,,,,,,,,,,Aadarsh,9,in_play,Backhand,Topspin,37.620079,10,0,0,no_mans_land,ad,near,-2.181445,1.589711,out,ad,far,3.478987,25.896513,0.910402,cross court,In,False,21:03:27,235.970001,AadarshBackhand
40 - 40,0 - 0,0 - 0,1,15493200,0,,7.0,1,1,Ad,Player1,Far,0,T,-27.869209317570903,3.0305391513544895,,,,,0,47.42209098860192,510.1415354328074,Crosscourt,,,,,,,,,,,-27.869209317570903,3.0305391513544895,,,1,,,,,,,,,,,,,,,,,Aadarsh,1,serve,Serve,Flat,89.960747,12,0,0,service_box,deuce,far,-0.728103,11.966375,out,ad,far,1.238936,25.215012,2.547325,down the T,Net,False,21:03:50,258.220001,AadarshServe
40 - 40,0 - 0,0 - 0,0,16497000,0,,7.0,,1,Ad,Player1,Far,0,Body,-103.62476487308733,-184.2580435257141,1,Body,-103.62476487308733,-184.2580435257141,0,45.938992782128494,507.1212926506567,Crosscourt,,,,,,,,,,,-103.62476487308733,-184.2580435257141,,,,,,,,,,,,,,,,,,,,Aadarsh,1,serve,Serve,Flat,71.823891,13,0,0,service_box,ad,near,-2.707271,7.073327,out,ad,far,1.200189,25.136106,2.532888,out wide,In,False,21:04:06,274.950012,AadarshServe
40 - 40,0 - 0,0 - 0,0,16568999,0,,7.0,,2,Ad_Alley,Player2,,,,,,,,,,0,-200.85349409438444,-478.7786034555707,Crosscourt,Backhand,,,,,,,,,,21.04730971127522,285.13696959740304,,,,,,,,,,,,,,,,,,,,Ferguson,2,return,Backhand,Topspin,51.672363,13,0,0,no_mans_land,ad,far,0.549876,19.336607,out,ad_alley,near,-5.247441,-0.621233,0.427461,down the line,In,False,21:04:08,276.149994,FergusonBackhand
40 - 40,0 - 0,0 - 0,0,16650600,1,16650600,7.0,,3,Ad,Player1,,,,,,,,,,0,37.25754593173929,459.8399825019497,Crosscourt,Forehand,,,,,,,,,,-56.312221128579836,3.714118547679649,,,1,,,,,,,,,,,,,,,,,Aadarsh,3,serve_plus_one,Forehand,Topspin,47.01194,13,0,0,service_box,deuce,far,-1.471197,11.984234,no_mans_land,ad,far,0.97338,23.900848,1.674692,inside in,Net,False,21:04:09,277.51001,AadarshForehand
0 - 0,0 - 1,0 - 0,1,17577599,0,,8.0,,1,Deuce,Player1,Far,0,T,48.383366141707285,153.46956474182795,,,,,0,-45.69490376200614,452.4691983812186,Crosscourt,,,,,,,,,,,48.383366141707285,153.46956474182795,,,1,,,,,,,,,,,,,,,,,Aadarsh,1,serve,Serve,Flat,47.115616,14,0,0,service_box,ad,far,1.26405,15.896702,no_mans_land,deuce,far,-1.193812,23.708281,2.602749,out wide,Net,False,21:04:24,292.959991,AadarshServe
0 - 0,0 - 1,0 - 0,0,18283800,0,,8.0,,1,Deuce,Player1,Far,0,Body,83.7295767716103,-140.72066929126586,1,Body,83.7295767716103,-140.72066929126586,0,-54.51996391073298,453.98050634272266,Crosscourt,,,,,,,,,,,83.7295767716103,-140.72066929126586,,,,,,,,,,,,,,,,,,,,Aadarsh,1,serve,Serve,Flat,40.270844,15,0,0,service_box,deuce,near,2.187495,8.210772,no_mans_land,deuce,far,-1.424373,23.747765,2.606738,out wide,In,False,21:04:36,304.730011,AadarshServe
0 - 0,0 - 1,0 - 0,0,18384600,0,,8.0,,2,Deuce,Player2,,,,,,,,,,0,143.24358595793126,-490.46077209073525,Crosscourt,Forehand,,,,,,,,,,-38.271259842499916,321.52950568662305,,,,,,,,,,,,,,,,,,,,Ferguson,2,return,Forehand,Topspin,55.912689,15,0,0,no_mans_land,deuce,far,-0.999864,20.287388,out,deuce,near,3.742341,-0.926438,0.992182,cross court,In,False,21:04:38,306.410004,FergusonForehand
0 - 0,0 - 1,0 - 0,0,18451799,0,,8.0,,3,Deuce,Player1,,,,,,,,,,0,-43.15908792648689,483.79044728758913,Crosscourt,Forehand,,,,,,,,,,106.9444444443892,-358.6336395448716,,,,,,,,,,,,,,,,,,,,Aadarsh,3,serve_plus_one,Forehand,Topspin,46.981594,15,0,0,no_mans_land,deuce,near,2.794,2.51764,no_mans_land,deuce,far,-1.127562,24.526571,1.107681,cross court,In,False,21:04:39,307.529999,AadarshForehand
