pointScore,gameScore,setScore,isPointStart,pointStartTime,isPointEnd,pointEndTime,pointNumber,isBreakPoint,shotInRally,side,serverName,serverFarNear,firstServeIn,firstServeZone,firstServeXCoord,firstServeYCoord,secondServeIn,secondServeZone,secondServeXCoord,secondServeYCoord,isAce,shotContactX,shotContactY,shotDirection,shotFhBh,isSlice,isVolley,isOverhead,isApproach,isDropshot,isExcitingPoint,atNetPlayer1,atNetPlayer2,isLob,shotLocationX,shotLocationY,isWinner,isErrorWideR,isErrorWideL,isErrorNet,isErrorLong,clientTeam,Date,Division,Event,lineupPosition,matchDetails,matchVenue,opponentTeam,player1Name,player2Name,player1Hand,player2Hand,Round,Surface,Notes
15-15,2-0,0-0,,548616,1,,,,5,Ad,Player2,Far,,,,,,,,,,154,61,Down the Line,Backhand,,1,,,,,,1,,66,0,,,,1,,,,,,,,,,,,,,,,
15-30,2-0,0-0,1,569622,,,,,1,Ad,Player2,Far,1,Wide,-150,-184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-30,2-0,0-0,,572961,,,,,2,Ad,Player2,Far,,,,,,,,,,-189,-472,Down the Line,Backhand,1,,,,,,,,,-51,179,,,,,,,,,,,,,,,,,,,,
15-30,2-0,0-0,,574388,,,,,3,Ad,Player2,Far,,,,,,,,,,32,384,Down the Line,Forehand,,,,1,,,,,,90,-277,,,,,,,,,,,,,,,,,,,,
15-30,2-0,0-0,,575952,,,,,4,Deuce,Player2,Far,,,,,,,,,,133,-517,Crosscourt,Forehand,,,,,,,,,,-32,40,,,,,,,,,,,,,,,,,,,,
15-30,2-0,0-0,,576541,1,577291,,,5,Deuce,Player2,Far,,,,,,,,,,-24,37,Down the Line,Forehand,,1,,,,,,,,-75,-258,1,,,,,,,,,,,,,,,,,,,
30-30,2-0,0-0,1,577291,,,,,1,Deuce,Player2,Far,1,Body,64,-133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-30,2-0,0-0,,614198,,,,,2,Deuce,Player2,Far,,,,,,,,,,141,-464,Crosscourt,Forehand,,,,,,,,,,-32,360,,,,,,,,,,,,,,,,,,,,
30-30,2-0,0-0,,615850,,,,,3,Deuce,Player2,Far,,,,,,,,,,-30,493,Down the Line,Forehand,,,,,,,,,,-54,-272,,,,,,,,,,,,,,,,,,,,
30-30,2-0,0-0,,616907,,,,,4,Ad,Player2,Far,,,,,,,,,,-27,-501,Down the Line,Backhand,,,,,,,,,,-48,418,,,,,,,,,,,,,,,,,,,,
30-30,2-0,0-0,,618293,,,,,5,Deuce,Player2,Far,,,,,,,,,,-14,469,Crosscourt,Forehand,,,,,,,,,,96,-336,,,,,,,,,,,,,,,,,,,,
30-30,2-0,0-0,,619422,1,,,,6,Deuce,Player2,Far,,,,,,,,,,144,-549,Down the Line,Forehand,,,,,,,,,,178,293,,1,,,,,,,,,,,,,,,,,,
40-30,2-0,0-0,1,620997,,,,,1,Ad,Player2,Far,1,T,-40,-221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40-30,2-0,0-0,,645739,1,,,,2,Ad,Player2,Far,,,,,,,,,,-56,-485,Crosscourt,Forehand,,,,,,,,,,192,282,,1,,,,,,,,,,,,,,,,,,
0-0,2-1,0-0,1,746110,,,,,1,Deuce,Player1,Far,1,Wide,149,-192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0-0,2-1,0-0,,752276,,,,,2,Deuce,Player1,Far,,,,,,,,,,234,-469,Down the Line,Forehand,1,,,,,,,,,48,197,,,,,,,,,,,,,,,,,,,,
0-0,2-1,0-0,,756531,,,,,3,Ad,Player1,Far,,,,,,,,,,40,336,Crosscourt,Forehand,1,,,,,,,,,-14,-450,,,,,,,,,,,,,,,,,,,,
0-0,2-1,0-0,,758139,,,,,4,Ad,Player1,Far,,,,,,,,,,-6,-488,Crosscourt,Backhand,,,,,,,1,,,21,51,,,,,,,,,,,,,,,,,,,,
0-0,2-1,0-0,,758253,1,,,,5,Ad,Player1,Far,,,,,,,,,,24,45,Crosscourt,Forehand,,1,,,,1,1,,,-118,-53,1,,,,,,,,,,,,,,,,,,,
15-0,2-1,0-0,1,759435,,,,,1,Ad,Player1,Far,1,T,-43,-224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-0,2-1,0-0,,781926,1,783329,,,2,Ad,Player1,Far,,,,,,,,,,-62,-477,Crosscourt,Forehand,,,,,,,,,,93,0,,,,1,,,,,,,,,,,,,,,,
30-0,2-1,0-0,1,801502,,,,,1,Deuce,Player1,Far,1,T,18,-232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-0,2-1,0-0,,805812,1,805812,,,2,Deuce,Player1,Far,,,,,,,,,,53,-482,Crosscourt,Backhand,1,,,,,,,,,-341,-181,,,1,1,,,,,,,,,,,,,,,,
40-0,2-1,0-0,1,822669,,,,,1,Ad,Player1,Far,1,Wide,-136,-192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40-0,2-1,0-0,,826206,,,,,2,Ad,Player1,Far,,,,,,,,,,-181,-490,Down the Line,Backhand,1,,,,,,,,,-67,205,,,,,,,,,,,,,,,,,,,,
40-0,2-1,0-0,,827876,1,829133,,,3,Deuce,Player1,Far,,,,,,,,,,-8,285,Down the Line,Forehand,,,,1,,,,,,-134,-386,1,,,,,,,,,,,,,,,,,,,
0-0,3-1,0-0,1,855127,,,,,1,Deuce,Player2,Near,1,T,-43,221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0-0,3-1,0-0,,858142,1,,,,2,Deuce,Player2,Near,,,,,,,,,,-131,469,Down the Line,Backhand,,,,,,,,,,-62,0,,,,1,,,,,,,,,,,,,,,,
15-0,3-1,0-0,1,859569,,,,,1,Ad,Player2,Near,1,T,40,237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-0,3-1,0-0,,882592,,,,,2,Ad,Player2,Near,,,,,,,,,,74,469,Down the Line,Forehand,,,,,,,,,,77,-128,,,,,,,,,,,,,,,,,,,,
15-0,3-1,0-0,,884773,1,,,,3,Deuce,Player2,Near,,,,,,,,,,96,-402,Crosscourt,Forehand,,,,,,,,,,-6,0,,,,1,,,,,,,,,,,,,,,,
15-15,3-1,0-0,1,885875,,,,,1,Deuce,Player2,Near,0,Body,-72,0,1,Body,-78,147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-15,3-1,0-0,,924151,,,,,2,Deuce,Player2,Near,,,,,,,,,,-144,437,Crosscourt,Forehand,,,,,,,,,,29,-176,,,,,,,,,,,,,,,,,,,,
15-15,3-1,0-0,,925718,,,,,3,Deuce,Player2,Near,,,,,,,,,,117,-485,Down the Line,Forehand,,,,,,,,,,64,298,,,,,,,,,,,,,,,,,,,,
15-15,3-1,0-0,,926504,,,,,4,Ad,Player2,Near,,,,,,,,,,16,485,Crosscourt,Backhand,,,,,,,,,,-78,-322,,,,,,,,,,,,,,,,,,,,
15-15,3-1,0-0,,927840,,,,,5,Ad,Player2,Near,,,,,,,,,,-86,-488,Crosscourt,Backhand,,,,,,,,,,114,426,,,,,,,,,,,,,,,,,,,,
15-15,3-1,0-0,,929203,,,,,6,Ad,Player2,Near,,,,,,,,,,141,506,Crosscourt,Backhand,,,,,,,,,,-6,-242,,,,,,,,,,,,,,,,,,,,
15-15,3-1,0-0,,930338,,,,,7,Ad,Player2,Near,,,,,,,,,,-19,-466,Down the Line,Backhand,,,,,,,,,,-67,434,,,,,,,,,,,,,,,,,,,,
15-15,3-1,0-0,,931854,,,,,8,Deuce,Player2,Near,,,,,,,,,,-62,536,Crosscourt,Forehand,,,,,,,,,,66,-213,,,,,,,,,,,,,,,,,,,,
15-15,3-1,0-0,,933864,,,,,9,Deuce,Player2,Near,,,,,,,,,,106,-474,Crosscourt,Forehand,,,,,,,,,,-83,376,,,,,,,,,,,,,,,,,,,,
15-15,3-1,0-0,,934762,,,,,10,Deuce,Player2,Near,,,,,,,,,,-136,496,Down the Line,Forehand,1,,,,,,,,,-142,-205,,,,,,,,,,,,,,,,,,,,
15-15,3-1,0-0,,937035,1,938587,,,11,Ad,Player2,Near,,,,,,,,,,-126,-285,Down the Line,Backhand,,,,,,,,,,-181,210,,,1,,,,,,,,,,,,,,,,,
15-30,3-1,0-0,1,938587,,,,,1,Ad,Player2,Near,1,Wide,128,226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-30,3-1,0-0,,964675,,,,,2,Ad,Player2,Near,,,,,,,,,,157,474,Crosscourt,Backhand,,,,,,,,,,-48,-224,,,,,,,,,,,,,,,,,,,,
15-30,3-1,0-0,,967137,1,967812,,,3,Ad,Player2,Near,,,,,,,,,,-107,-274,Down the Line,Forehand,,,,1,,,,,,-104,330,1,,,,,,,,,,,,,,,,,,,
30-30,3-1,0-0,1,968150,1,,,,1,Deuce,Player2,Near,0,Body,-56,266,0,Body,-59,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-40,3-1,0-0,1,1004576,1,,,,1,Ad,Player2,Near,0,Body,74,317,0,Body,69,264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0-0,4-1,0-0,1,1040300,1,,,,1,Deuce,Player1,Near,0,Wide,-168,226,0,T,-8,-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0-15,4-1,0-0,1,1195921,,,,,1,Ad,Player1,Near,0,T,10,0,1,Wide,136,218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0-15,4-1,0-0,,1229678,1,,,,3,Ad,Player1,Near,,,,,,,,,,-35,-466,Down the Line,Backhand,,,,,,,,,,-35,0,,,,1,,,,,,,,,,,,,,,,
0-15,4-1,0-0,,1229803,,,,,2,Ad,Player1,Near,,,,,,,,,,186,477,Down the Line,Backhand,,,,,,,,,,8,-208,,,,,,,,,,,,,,,,,,,,
0-30,4-1,0-0,1,1232098,,,,,1,Deuce,Player1,Near,0,T,-30,269,1,T,-43,229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0-30,4-1,0-0,,1272462,1,,,,2,Deuce,Player1,Near,,,,,,,,,,-126,442,Crosscourt,Backhand,,,,,,,,,,80,-613,,,,,1,,,,,,,,,,,,,,,
15-30,4-1,0-0,1,1273657,,,,,1,Ad,Player1,Near,0,T,45,301,1,Wide,112,218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-30,4-1,0-0,,1304219,,,,,2,Ad,Player1,Near,,,,,,,,,,138,485,Crosscourt,Backhand,,,,,,,,,,-48,-264,,,,,,,,,,,,,,,,,,,,
15-30,4-1,0-0,,1304565,,,,,3,Ad,Player1,Near,,,,,,,,,,-83,-440,Down the Line,Backhand,,,,1,,,,,,-96,421,,,,,,,,,,,,,,,,,,,,
15-30,4-1,0-0,,1306910,,,,,4,Deuce,Player1,Near,,,,,,,,,,-62,514,Down the Line,Forehand,,,,,,,,,,-94,-173,,,,,,,,,,,,,,,,,,,,
15-30,4-1,0-0,,1307529,,,,,5,Ad,Player1,Near,,,,,,,,,,-83,-176,Crosscourt,Backhand,,1,,,,,,,,77,362,,,,,,,,,,,,,,,,,,,,
15-30,4-1,0-0,,1309050,1,,,,6,Ad,Player1,Near,,,,,,,,,,146,458,Crosscourt,Backhand,,,,,,1,,,,-235,-189,,1,,,,,,,,,,,,,,,,,,
30-30,4-1,0-0,1,1310211,1,,,,1,Deuce,Player1,Near,0,T,5,0,0,T,-46,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-40,4-1,0-0,1,1352894,,,,,1,Ad,Player1,Near,1,T,40,229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-40,4-1,0-0,,1383782,,,,,2,Ad,Player1,Near,,,,,,,,,,69,482,Down the Line,Forehand,1,,,,,,,,,18,-216,,,,,,,,,,,,,,,,,,,,
30-40,4-1,0-0,,1385583,,,,,3,Ad,Player1,Near,,,,,,,,,,-6,-384,Down the Line,Forehand,,,,1,,,,,,-3,269,,,,,,,,,,,,,,,,,,,,
30-40,4-1,0-0,,1386417,,,,,4,Ad,Player1,Near,,,,,,,,,,8,480,Down the Line,Forehand,,,,,,,,,,88,-96,,,,,,,,,,,,,,,,,,,,
30-40,4-1,0-0,,1387220,1,,,,5,Deuce,Player1,Near,,,,,,,,,,74,-99,Down the Line,Forehand,,1,,,,,,,,234,-45,,1,,1,,,,,,,,,,,,,,,,
0-0,4-2,0-0,1,1401082,1,,,,1,Deuce,Player2,Far,0,T,-29,2,0,T,38,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0-15,4-2,0-0,1,1427050,,,,,1,Ad,Player2,Far,1,T,-16,-198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0-15,4-2,0-0,,1459363,,,,,2,Ad,Player2,Far,,,,,,,,,,-26,-499,Crosscourt,Forehand,,,,,,,,,,51,229,,,,,,,,,,,,,,,,,,,,
0-15,4-2,0-0,,1459604,,,,,3,Ad,Player2,Far,,,,,,,,,,32,480,Down the Line,Backhand,,,,,,,,,,54,-216,,,,,,,,,,,,,,,,,,,,
0-15,4-2,0-0,,1460901,1,,,,4,Deuce,Player2,Far,,,,,,,,,,32,-491,Down the Line,Forehand,,,,,,,,,,8,-11,,,,1,,,,,,,,,,,,,,,,
15-15,4-2,0-0,1,1471811,,,,,1,Deuce,Player2,Far,1,T,17,-151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-15,4-2,0-0,,1485896,,,,,2,Deuce,Player2,Far,,,,,,,,,,163,-463,Down the Line,Backhand,,,,,,,,,,54,297,,,,,,,,,,,,,,,,,,,,
