pointScore,gameScore,setScore,isPointStart,pointStartTime,isPointEnd,pointEndTime,pointNumber,isBreakPoint,shotInRally,side,serverName,serverFarNear,firstServeIn,firstServeZone,firstServeXCoord,firstServeYCoord,secondServeIn,secondServeZone,secondServeXCoord,secondServeYCoord,isAce,shotContactX,shotContactY,shotDirection,shotFhBh,isSlice,isVolley,isOverhead,isApproach,isDropshot,isExcitingPoint,atNetPlayer1,atNetPlayer2,isLob,shotLocationX,shotLocationY,isWinner,isErrorWideR,isErrorWideL,isErrorNet,isErrorLong,clientTeam,Date,Division,Event,lineupPosition,matchDetails,matchVenue,opponentTeam,player1Name,player2Name,player1Hand,player2Hand,Round,Surface,Notes,tiebreakScore,returnerName,shotHitBy,isInsideOut,isInsideIn,isDoubleFault,pointWonBy,lastShotError,serveResult,serveInPlacement,depth
40-30,0-0,0-0,,277817.0,,,6,,10,Ad,Rudy Quan,Near,,,,,,,,,,88.0,496.0,Crosscourt,Forehand,,,,,,,,,,-136.0,-277.0,,,,,,UCLA,5/31/24,,Little Rock Challenger,,,,,Rudy Quan,Yuta Shimizu,Right,Left,Quarter-final,Hard,,,Yuta Shimizu,Yuta Shimizu,,,,,0,,,Short
40-30,0-0,0-0,,279498.0,,,6,,11,Ad,Rudy Quan,Near,,,,,,,,,,-266.0,-485.0,Down the Line,Backhand,,,,,,,,,,-61.0,165.0,,,,,,UCLA,5/31/24,,Little Rock Challenger,,,,,Rudy Quan,Yuta Shimizu,Right,Left,Quarter-final,Hard,,,Yuta Shimizu,Rudy Quan,,,,,0,,,Short
40-30,0-0,0-0,,281184.0,1.0,,6,,12,Deuce,Rudy Quan,Near,,,,,,,,,,-50.0,365.0,Crosscourt,Forehand,,,,1.0,,,,,,120.0,-349.0,1.0,,,,,UCLA,5/31/24,,Little Rock Challenger,,,,,Rudy Quan,Yuta Shimizu,Right,Left,Quarter-final,Hard,,,Yuta Shimizu,Yuta Shimizu,1,,,Yuta Shimizu,0,,,Short
40-40,0-0,0-0,1.0,281240.0,,,7,1.0,1,Deuce,Rudy Quan,Near,0.0,Body,-93.0,265.0,1.0,T,-48.0,149.0,,,,,,,,,,,,,,,,,,,,,,UCLA,5/31/24,,Little Rock Challenger,,,,,Rudy Quan,Yuta Shimizu,Right,Left,Quarter-final,Hard,,,Yuta Shimizu,Rudy Quan,,,,,0,2nd Serve In,T,
40-40,0-0,0-0,,335537.0,,,7,,2,Deuce,Rudy Quan,Near,,,,,,,,,,-109.0,434.0,Down the Line,Forehand,1.0,,,,,,,,,-88.0,-306.0,,,,,,UCLA,5/31/24,,Little Rock Challenger,,,,,Rudy Quan,Yuta Shimizu,Right,Left,Quarter-final,Hard,,,Yuta Shimizu,Yuta Shimizu,,1,,,0,,,Short
40-40,0-0,0-0,,337739.0,,,7,,3,Ad,Rudy Quan,Near,,,,,,,,,,-130.0,-474.0,Crosscourt,Forehand,,,,,,,,,,136.0,389.0,,,,,,UCLA,5/31/24,,Little Rock Challenger,,,,,Rudy Quan,Yuta Shimizu,Right,Left,Quarter-final,Hard,,,Yuta Shimizu,Rudy Quan,1,,,,0,,,Deep
40-40,0-0,0-0,,339250.0,,,7,,4,Ad,Rudy Quan,Near,,,,,,,,,,208.0,530.0,Crosscourt,Forehand,,,,,,,,,,-75.0,-349.0,,,,,,UCLA,5/31/24,,Little Rock Challenger,,,,,Rudy Quan,Yuta Shimizu,Right,Left,Quarter-final,Hard,,,Yuta Shimizu,Yuta Shimizu,,,,,0,,,Short
40-40,0-0,0-0,,340369.0,,,7,,5,Ad,Rudy Quan,Near,,,,,,,,,,-130.0,-437.0,Down the Line,Forehand,,,,,,,,,,-117.0,365.0,,,,,,UCLA,5/31/24,,Little Rock Challenger,,,,,Rudy Quan,Yuta Shimizu,Right,Left,Quarter-final,Hard,,,Yuta Shimizu,Rudy Quan,,1,,,0,,,Deep
40-40,0-0,0-0,,342142.0,,,7,,6,Deuce,Rudy Quan,Near,,,,,,,,,,-141.0,552.0,Down the Line,Forehand,,,,,,,,,1.0,-101.0,-309.0,,,,,,UCLA,5/31/24,,Little Rock Challenger,,,,,Rudy Quan,Yuta Shimizu,Right,Left,Quarter-final,Hard,,,Yuta Shimizu,Yuta Shimizu,,1,,,0,,,Short
40-40,0-0,0-0,,343519.0,1.0,,7,,7,Ad,Rudy Quan,Near,,,,,,,,,,-120.0,-314.0,Down the Line,Forehand,,1.0,,,,,,,,-168.0,493.0,,,1.0,,1.0,UCLA,5/31/24,,Little Rock Challenger,,,,,Rudy Quan,Yuta Shimizu,Right,Left,Quarter-final,Hard,,,Yuta Shimizu,Rudy Quan,,1,,Yuta Shimizu,1,,,
40-A,0-0,0-0,1.0,350564.0,,,8,,1,Ad,Rudy Quan,Near,0.0,Wide,123.0,265.0,1.0,T,24.0,165.0,,,,,,,,,,,,,,,,,,,,,,UCLA,5/31/24,,Little Rock Challenger,,,,,Rudy Quan,Yuta Shimizu,Right,Left,Quarter-final,Hard,,,Yuta Shimizu,Rudy Quan,,,,,0,2nd Serve In,T,
40-A,0-0,0-0,,383983.0,,,8,,2,Ad,Rudy Quan,Near,,,,,,,,,,3.0,501.0,Down the Line,Backhand,,,,,,,,,,99.0,-176.0,,,,,,UCLA,5/31/24,,Little Rock Challenger,,,,,Rudy Quan,Yuta Shimizu,Right,Left,Quarter-final,Hard,,,Yuta Shimizu,Yuta Shimizu,,1,,,0,,,Short
40-A,0-0,0-0,,385312.0,,,8,,3,Deuce,Rudy Quan,Near,,,,,,,,,,112.0,-501.0,Crosscourt,Forehand,,,,,,,,,,-123.0,370.0,,,,,,UCLA,5/31/24,,Little Rock Challenger,,,,,Rudy Quan,Yuta Shimizu,Right,Left,Quarter-final,Hard,,,Yuta Shimizu,Rudy Quan,,,,,0,,,Deep
40-A,0-0,0-0,,387090.0,1.0,,8,,4,Deuce,Rudy Quan,Near,,,,,,,,,,-186.0,490.0,Crosscourt,Backhand,,,,,,,,,,93.0,-522.0,,,,,1.0,UCLA,5/31/24,,Little Rock Challenger,,,,,Rudy Quan,Yuta Shimizu,Right,Left,Quarter-final,Hard,,,Yuta Shimizu,Yuta Shimizu,,,,Rudy Quan,1,,,Long
40-40,0-0,0-0,1.0,387951.0,,,9,,1,Deuce,Rudy Quan,Near,1.0,Wide,-120.0,206.0,,,,,,,,,,,,,,,,,,,,,,,,,,UCLA,5/31/24,,Little Rock Challenger,,,,,Rudy Quan,Yuta Shimizu,Right,Left,Quarter-final,Hard,,,Yuta Shimizu,Rudy Quan,,,,,0,1st Serve In,Wide,
40-40,0-0,0-0,,416699.0,,,9,,2,Deuce,Rudy Quan,Near,,,,,,,,,,-170.0,469.0,Crosscourt,Backhand,,,,,,,,,,117.0,-280.0,,,,,,UCLA,5/31/24,,Little Rock Challenger,,,,,Rudy Quan,Yuta Shimizu,Right,Left,Quarter-final,Hard,,,Yuta Shimizu,Yuta Shimizu,,,,,0,,,Short
40-40,0-0,0-0,,417795.0,,,9,,3,Deuce,Rudy Quan,Near,,,,,,,,,,192.0,-496.0,Crosscourt,Forehand,,,,,,,,,,-101.0,408.0,,,,,,UCLA,5/31/24,,Little Rock Challenger,,,,,Rudy Quan,Yuta Shimizu,Right,Left,Quarter-final,Hard,,,Yuta Shimizu,Rudy Quan,,,,,0,,,Deep
40-40,0-0,0-0,,419165.0,,,9,,4,Deuce,Rudy Quan,Near,,,,,,,,,,-154.0,504.0,Down the Line,Backhand,,,,,,,,,,-91.0,-264.0,,,,,,UCLA,5/31/24,,Little Rock Challenger,,,,,Rudy Quan,Yuta Shimizu,Right,Left,Quarter-final,Hard,,,Yuta Shimizu,Yuta Shimizu,,,,,0,,,Short
40-40,0-0,0-0,,420160.0,,,9,,5,Ad,Rudy Quan,Near,,,,,,,,,,-80.0,-488.0,Crosscourt,Backhand,,,,,,,,,,75.0,258.0,,,,,,UCLA,5/31/24,,Little Rock Challenger,,,,,Rudy Quan,Yuta Shimizu,Right,Left,Quarter-final,Hard,,,Yuta Shimizu,Rudy Quan,,,,,0,,,Short
40-40,0-0,0-0,,422538.0,,,9,,6,Ad,Rudy Quan,Near,,,,,,,,,,102.0,490.0,Crosscourt,Forehand,,,,,,,,,,-96.0,-280.0,,,,,,UCLA,5/31/24,,Little Rock Challenger,,,,,Rudy Quan,Yuta Shimizu,Right,Left,Quarter-final,Hard,,,Yuta Shimizu,Yuta Shimizu,,,,,0,,,Short
40-40,0-0,0-0,,423030.0,,,9,,7,Ad,Rudy Quan,Near,,,,,,,,,,-114.0,-496.0,Down the Line,Backhand,,,,,,,,,,-80.0,434.0,,,,,,UCLA,5/31/24,,Little Rock Challenger,,,,,Rudy Quan,Yuta Shimizu,Right,Left,Quarter-final,Hard,,,Yuta Shimizu,Rudy Quan,,,,,0,,,Deep
40-40,0-0,0-0,,425018.0,,,9,,8,Deuce,Rudy Quan,Near,,,,,,,,,,-104.0,501.0,Crosscourt,Backhand,,,,,,,,,,48.0,-376.0,,,,,,UCLA,5/31/24,,Little Rock Challenger,,,,,Rudy Quan,Yuta Shimizu,Right,Left,Quarter-final,Hard,,,Yuta Shimizu,Yuta Shimizu,,,,,0,,,Deep
40-40,0-0,0-0,,425751.0,,,9,,9,Deuce,Rudy Quan,Near,,,,,,,,,,67.0,-546.0,Crosscourt,Forehand,,,,,,,,,,-29.0,378.0,,,,,,UCLA,5/31/24,,Little Rock Challenger,,,,,Rudy Quan,Yuta Shimizu,Right,Left,Quarter-final,Hard,,,Yuta Shimizu,Rudy Quan,,,,,0,,,Deep
40-40,0-0,0-0,,427462.0,1.0,,9,,10,Deuce,Rudy Quan,Near,,,,,,,,,,-24.0,517.0,Down the Line,Backhand,,,,,,,,,,-139.0,-528.0,,,,,1.0,UCLA,5/31/24,,Little Rock Challenger,,,,,Rudy Quan,Yuta Shimizu,Right,Left,Quarter-final,Hard,,,Yuta Shimizu,Yuta Shimizu,,,,Rudy Quan,1,,,Long
A-40,0-0,0-0,1.0,444244.0,,,10,,1,Ad,Rudy Quan,Near,1.0,Body,83.0,116.0,,,,,,,,,,,,,,,,,,,,,,,,,,UCLA,5/31/24,,Little Rock Challenger,,,,,Rudy Quan,Yuta Shimizu,Right,Left,Quarter-final,Hard,,,Yuta Shimizu,Rudy Quan,,,,,0,1st Serve In,Body,
A-40,0-0,0-0,,457138.0,,,10,,2,Ad,Rudy Quan,Near,,,,,,,,,,171.0,517.0,Crosscourt,Forehand,,,,,,,,,,-85.0,-333.0,,,,,,UCLA,5/31/24,,Little Rock Challenger,,,,,Rudy Quan,Yuta Shimizu,Right,Left,Quarter-final,Hard,,,Yuta Shimizu,Yuta Shimizu,,,,,0,,,Short
