pointScore,gameScore,setScore,isPointStart,pointStartTime,isPointEnd,pointEndTime,pointNumber,isBreakPoint,shotInRally,side,serverName,serverFarNear,firstServeIn,firstServeZone,firstServeXCoord,firstServeYCoord,secondServeIn,secondServeZone,secondServeXCoord,secondServeYCoord,isAce,shotContactX,shotContactY,shotDirection,shotFhBh,isSlice,isVolley,isOverhead,isApproach,isDropshot,isExcitingPoint,atNetPlayer1,atNetPlayer2,isLob,shotLocationX,shotLocationY,isWinner,isErrorWideR,isErrorWideL,isErrorNet,isErrorLong,clientTeam,Date,Division,Event,lineupPosition,matchDetails,matchVenue,opponentTeam,player1Name,player2Name,player1Hand,player2Hand,Round,Surface,Notes
40-40,0-0,0-0,,422538,,,,,6,Ad,Player1,Near,,,,,,,,,,102,490,Crosscourt,Forehand,,,,,,,,,,-96,-280,,,,,,,,,,,,,,,,,,,,
40-40,0-0,0-0,,423030,,,,,7,Ad,Player1,Near,,,,,,,,,,-114,-496,Down the Line,Backhand,,,,,,,,,,-80,434,,,,,,,,,,,,,,,,,,,,
40-40,0-0,0-0,,425018,,,,,8,Deuce,Player1,Near,,,,,,,,,,-104,501,Crosscourt,Backhand,,,,,,,,,,48,-376,,,,,,,,,,,,,,,,,,,,
40-40,0-0,0-0,,425751,,,,,9,Deuce,Player1,Near,,,,,,,,,,67,-546,Crosscourt,Forehand,,,,,,,,,,-29,378,,,,,,,,,,,,,,,,,,,,
40-40,0-0,0-0,,427462,1,,,,10,Deuce,Player1,Near,,,,,,,,,,-24,517,Down the Line,Backhand,,,,,,,,,,-139,-528,,,,,1,,,,,,,,,,,,,,,
A-40,0-0,0-0,1,444244,,,,,1,Ad,Player1,Near,1,Body,83,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-40,0-0,0-0,,457138,,,,,2,Ad,Player1,Near,,,,,,,,,,171,517,Crosscourt,Forehand,,,,,,,,,,-85,-333,,,,,,,,,,,,,,,,,,,,
A-40,0-0,0-0,,458112,,,,,3,Ad,Player1,Near,,,,,,,,,,-125,-488,Down the Line,Backhand,,,,,,,,,,-32,285,,,,,,,,,,,,,,,,,,,,
A-40,0-0,0-0,,459258,,,,,4,Deuce,Player1,Near,,,,,,,,,,-24,472,Down the Line,Forehand,,,,1,,,,,,-85,-314,,,,,,,,,,,,,,,,,,,,
A-40,0-0,0-0,,460660,1,,,,5,Ad,Player1,Near,,,,,,,,,,-176,-536,Crosscourt,Backhand,,,,,,,,1,,186,234,,1,,,,,,,,,,,,,,,,,,
40-40,0-0,0-0,1,488591,,,,,1,Deuce,Player1,Near,1,Body,-72,238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40-40,0-0,0-0,,494825,,,,,2,Deuce,Player1,Near,,,,,,,,,,-125,501,Down the Line,Forehand,,,,,,,,,,-101,-402,,,,,,,,,,,,,,,,,,,,
40-40,0-0,0-0,,496302,,,,,3,Ad,Player1,Near,,,,,,,,,,-101,-520,Crosscourt,Backhand,,,,,,,,,,48,408,,,,,,,,,,,,,,,,,,,,
40-40,0-0,0-0,,498198,,,,,4,Ad,Player1,Near,,,,,,,,,,86,552,Crosscourt,Forehand,,,,,,,,,,-123,-288,,,,,,,,,,,,,,,,,,,,
40-40,0-0,0-0,,498989,,,,,5,Ad,Player1,Near,,,,,,,,,,-207,-522,Crosscourt,Backhand,,,,,,,,,,37,373,,,,,,,,,,,,,,,,,,,,
40-40,0-0,0-0,,501166,1,,,,6,Ad,Player1,Near,,,,,,,,,,16,477,Crosscourt,Forehand,,,,,,,,,,-179,-280,,1,,,,,,,,,,,,,,,,,,
A-40,0-0,0-0,1,506603,,,,,1,Ad,Player1,Near,1,T,8,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-40,0-0,0-0,,531816,,,,,2,Ad,Player1,Near,,,,,,,,,,11,512,Crosscourt,Backhand,,,,,,,1,,,-16,-85,,,,,,,,,,,,,,,,,,,,
A-40,0-0,0-0,,532298,,,,,3,Ad,Player1,Near,,,,,,,,,,-34,-101,Crosscourt,Forehand,,,,,,,1,,,138,429,,,,,,,,,,,,,,,,,,,,
A-40,0-0,0-0,,534505,,,,,4,Ad,Player1,Near,,,,,,,,,,182,493,Crosscourt,Forehand,,,,,,,1,,1,-83,-93,,,,,,,,,,,,,,,,,,,,
A-40,0-0,0-0,,535206,1,,,,5,Ad,Player1,Near,,,,,,,,,,-98,-104,Down the Line,Backhand,,1,,,,,1,,,-261,370,,,1,,,,,,,,,,,,,,,,,
