pointScore,gameScore,setScore,isPointStart,pointStartTime,isPointEnd,pointEndTime,pointNumber,isBreakPoint,shotInRally,side,serverName,serverFarNear,firstServeIn,firstServeZone,firstServeXCoord,firstServeYCoord,secondServeIn,secondServeZone,secondServeXCoord,secondServeYCoord,isAce,shotContactX,shotContactY,shotDirection,shotFhBh,isSlice,isVolley,isOverhead,isApproach,isDropshot,isExcitingPoint,atNetPlayer1,atNetPlayer2,isLob,shotLocationX,shotLocationY,isWinner,isErrorWideR,isErrorWideL,isErrorNet,isErrorLong,clientTeam,Date,Division,Event,lineupPosition,matchDetails,matchVenue,opponentTeam,player1Name,player2Name,player1Hand,player2Hand,Round,Surface,Notes,isLet,tiebreakScore,returnerName,shotHitBy,InsideOut,InsideIn,isDoubleFault,pointWonBy,lastShotError,serveResult,serveInPlacement,depth
30-40,0-0,0-0,,246107,,,6,,10,Ad,Theo Dean,Near,,,,,,,,,,17.0,477.0,Crosscourt,Forehand,,,,,,,,,,-90.0,-345.0,,,,,,UCLA,11/9/2024,Division 1,ITA Sectional Championships,,,"Malibu, California",University of California Berkeley,Aadarsh Tripathi,Theo Dean,Right,Right,Main Draw Quarter-finals,Hard,,0.0,,Aadarsh Tripathi,Aadarsh Tripathi,1.0,,,,,,,Short
30-40,0-0,0-0,,247147,,,6,,11,Ad,Theo Dean,Near,,,,,,,,,,-146.0,-480.0,Crosscourt,Backhand,,,,,,,,,,107.0,222.0,,,,,,UCLA,11/9/2024,Division 1,ITA Sectional Championships,,,"Malibu, California",University of California Berkeley,Aadarsh Tripathi,Theo Dean,Right,Right,Main Draw Quarter-finals,Hard,,0.0,,Aadarsh Tripathi,Theo Dean,,,,,,,,Short
30-40,0-0,0-0,,248944,1.0,249918.0,6,,12,Ad,Theo Dean,Near,,,,,,,,,,161.0,480.0,Down the Line,Backhand,,,,,,,,,,142.0,-337.0,1.0,,,,,UCLA,11/9/2024,Division 1,ITA Sectional Championships,,,"Malibu, California",University of California Berkeley,Aadarsh Tripathi,Theo Dean,Right,Right,Main Draw Quarter-finals,Hard,,0.0,,Aadarsh Tripathi,Aadarsh Tripathi,,,,Aadarsh Tripathi,,,,Short
40-40,0-0,0-0,1.0,271901,1.0,289434.0,7,1.0,1,Ad,Theo Dean,Near,0.0,T,46.0,-9.0,0.0,T,3.0,281.0,,,,,,,,,,,,,,,,,,,,,,UCLA,11/9/2024,Division 1,ITA Sectional Championships,,,"Malibu, California",University of California Berkeley,Aadarsh Tripathi,Theo Dean,Right,Right,Main Draw Quarter-finals,Hard,,0.0,,Aadarsh Tripathi,Theo Dean,,,1,Aadarsh Tripathi,,Double Fault,T,
0-0,1-0,0-0,1.0,355674,,,8,,1,Deuce,Aadarsh Tripathi,Near,0.0,Wide,-180.0,230.0,1.0,Body,-79.0,228.0,,,,,,,,,,,,,,,,,,,,,,UCLA,11/9/2024,Division 1,ITA Sectional Championships,,,"Malibu, California",University of California Berkeley,Aadarsh Tripathi,Theo Dean,Right,Right,Main Draw Quarter-finals,Hard,,0.0,,Theo Dean,Aadarsh Tripathi,,,,,,2nd Serve In,Body,
0-0,1-0,0-0,,372287,,,8,,2,Deuce,Aadarsh Tripathi,Near,,,,,,,,,,-132.0,488.0,Crosscourt,Forehand,,,,,,,,,,57.0,-377.0,,,,,,UCLA,11/9/2024,Division 1,ITA Sectional Championships,,,"Malibu, California",University of California Berkeley,Aadarsh Tripathi,Theo Dean,Right,Right,Main Draw Quarter-finals,Hard,,0.0,,Theo Dean,Theo Dean,,,,,,,,Deep
0-0,1-0,0-0,,372870,,,8,,2,Deuce,Aadarsh Tripathi,Near,,,,,,,,,,-108.0,477.0,Crosscourt,Forehand,,,,,,,,,,30.0,-289.0,,,,,,UCLA,11/9/2024,Division 1,ITA Sectional Championships,,,"Malibu, California",University of California Berkeley,Aadarsh Tripathi,Theo Dean,Right,Right,Main Draw Quarter-finals,Hard,,0.0,,Theo Dean,Theo Dean,,,,,,,,Short
0-0,1-0,0-0,,373704,,,8,,3,Deuce,Aadarsh Tripathi,Near,,,,,,,,,,43.0,-474.0,Crosscourt,Forehand,,,,,,,,,,-31.0,222.0,,,,,,UCLA,11/9/2024,Division 1,ITA Sectional Championships,,,"Malibu, California",University of California Berkeley,Aadarsh Tripathi,Theo Dean,Right,Right,Main Draw Quarter-finals,Hard,,0.0,,Theo Dean,Aadarsh Tripathi,,,,,,,,Short
0-0,1-0,0-0,,373810,,,8,,3,Deuce,Aadarsh Tripathi,Near,,,,,,,,,,91.0,-496.0,Crosscourt,Forehand,,,,,,,,,,-39.0,185.0,,,,,,UCLA,11/9/2024,Division 1,ITA Sectional Championships,,,"Malibu, California",University of California Berkeley,Aadarsh Tripathi,Theo Dean,Right,Right,Main Draw Quarter-finals,Hard,,0.0,,Theo Dean,Aadarsh Tripathi,,,,,,,,Short
0-0,1-0,0-0,,374998,,,8,,4,Deuce,Aadarsh Tripathi,Near,,,,,,,,,,-74.0,421.0,Crosscourt,Forehand,,,,1.0,,,,,,54.0,-364.0,,,,,,UCLA,11/9/2024,Division 1,ITA Sectional Championships,,,"Malibu, California",University of California Berkeley,Aadarsh Tripathi,Theo Dean,Right,Right,Main Draw Quarter-finals,Hard,,0.0,,Theo Dean,Theo Dean,,,,,,,,Deep
